team,year,talent_level,prev_win_pct,recent_win_pct,coach,career_win_pct,turnover_margin,total_tds,elo,off_success_rate,sor,sos,pred_win_pct,pred_wins,pred_losses
Georgia,2024,311.40500000000003,0.9285714285714286,0.7774294670846394,Kirby Smart,0.8545454545454545,3.0,69.0,2273.0,0.526813880126183,3,13,0.8617712509533793,10.0,2.0
Alabama,2024,322.2275,0.8571428571428571,0.7850467289719626,Nick Saban,0.8494983277591973,8.0,55.0,2032.0,0.4465909090909091,4,6,0.7603646350330244,9.0,3.0
Oregon,2024,275.6025,0.8571428571428571,0.7320261437908496,Dan Lanning,0.8148148148148148,11.0,82.0,2106.0,0.5635593220338984,10,30,0.8232497121705553,10.0,2.0
Miami,2024,268.5825,0.5384615384615384,0.6445182724252492,Mario Cristobal,0.5034013605442177,-4.0,47.0,1580.0,0.4345307068366164,49,45,0.5723680920403221,7.0,5.0
Ohio State,2024,297.13750000000005,0.8461538461538461,0.8381877022653722,Ryan Day,0.88,-2.0,46.0,2065.0,0.4593939393939394,7,34,0.8070242226250426,10.0,2.0
Texas,2024,279.84000000000003,0.8571428571428571,0.696078431372549,Steve Sarkisian,0.5948275862068966,6.0,54.0,2025.0,0.454828660436137,9,34,0.730505062984667,9.0,3.0
LSU,2024,276.145,0.7692307692307693,0.75,Brian Kelly,0.7185185185185186,6.0,78.0,1985.0,0.5589307411907655,11,25,0.7674069840059481,9.0,3.0
Oklahoma,2024,274.83000000000004,0.7692307692307693,0.8018867924528302,Brent Venables,0.6153846153846154,6.0,66.0,1930.0,0.4957173447537473,14,3,0.6978014065482763,8.0,4.0
Notre Dame,2024,273.225,0.7692307692307693,0.6688741721854304,Marcus Freeman,0.7692307692307693,7.0,59.0,2077.0,0.4950124688279301,13,41,0.7841623734349976,9.0,3.0
Auburn,2024,238.3175,0.4615384615384615,0.6428571428571429,Hugh Freeze,0.6357142857142857,-2.0,40.0,1585.0,0.4292623941958887,50,43,0.5763273855209579,7.0,5.0
Clemson,2024,274.4125,0.6923076923076923,0.7421383647798742,Dabo Swinney,0.7899543378995434,5.0,44.0,1764.0,0.4516460905349794,22,20,0.6641877192032732,8.0,4.0
Florida State,2024,238.335,0.9285714285714286,0.6838709677419355,Mike Norvell,0.6764705882352942,8.0,57.0,1789.0,0.4130190796857463,5,21,0.6235361833740913,7.0,5.0
