coach,team,year,wins,games,losses,cumulative_wins,cumulative_games,career_win_pct
Lou Holtz,South Carolina,2000,8,12,4,8,12,0.0
George O'Leary,Georgia Tech,2000,9,12,3,9,12,0.0
LaVell Edwards,BYU,2000,6,12,6,6,12,0.0
Lee Owens,Akron,2000,6,11,5,6,11,0.0
Randy Edsall,Connecticut,2000,3,11,8,3,11,0.0
Paul Pasqualoni,Syracuse,2000,6,11,5,6,11,0.0
Mike Bellotti,Oregon,2000,10,12,2,10,12,0.0
Joe Paterno,Penn State,2000,5,12,7,5,12,0.0
Mike DuBose,Alabama,2000,3,11,8,3,11,0.0
Gary Patterson,TCU,2000,10,12,2,10,12,0.0
Jim Donnan,Georgia,2000,8,12,4,8,12,0.0
Dean Pees,Kent State,2000,1,11,10,1,11,0.0
Todd Berry,Army,2000,1,11,10,1,11,0.0
Dana Dimel,Houston,2000,3,11,8,3,11,0.0
Darrell Dickey,North Texas,2000,3,11,8,3,11,0.0
Gary Pinkel,Toledo,2000,10,11,1,10,11,0.0
Jack Bicknell,Louisiana Tech,2000,3,12,9,3,12,0.0
Mick Dennehy,Utah State,2000,5,11,6,5,11,0.0
Tom O'Brien,Boston College,2000,7,12,5,7,12,0.0
Dennis Erickson,Oregon State,2000,11,12,1,11,12,0.0
Ron Turner,Illinois,2000,5,11,6,5,11,0.0
Houston Nutt,Arkansas,2000,6,12,6,6,12,0.0
Dan McCarney,Iowa State,2000,9,12,3,9,12,0.0
Carl Franks,Duke,2000,0,11,11,0,11,0.0
Andy McCollum,Middle Tennessee,2000,6,11,5,6,11,0.0
Bobby Wallace,Temple,2000,4,11,7,4,11,0.0
Dennis Franchione,TCU,2000,10,12,2,10,12,0.0
Rick Minter,Cincinnati,2000,7,12,5,7,12,0.0
Randy Walker,Northwestern,2000,8,12,4,8,12,0.0
Hal Mumme,Kentucky,2000,2,11,9,2,11,0.0
Mike DeBord,Central Michigan,2000,2,11,9,2,11,0.0
Dave Baldwin,San José State,2000,7,12,5,7,12,0.0
Ron Vanderlinden,Maryland,2000,5,11,6,5,11,0.0
Don Nehlen,West Virginia,2000,7,12,5,7,12,0.0
Gary Barnett,Colorado,2000,3,11,8,3,11,0.0
Rick Neuheisel,Washington,2000,11,12,1,11,12,0.0
Gary Nord,UTEP,2000,8,12,4,8,12,0.0
Frank Beamer,Virginia Tech,2000,11,12,1,11,12,0.0
Joe Novak,Northern Illinois,2000,6,11,5,6,11,0.0
Kirk Ferentz,Iowa,2000,3,12,9,3,12,0.0
Jerry Baldwin,Louisiana,2000,1,11,10,1,11,0.0
Fisher DeBerry,Air Force,2000,9,12,3,9,12,0.0
Mike Price,Washington State,2000,4,11,7,4,11,0.0
Chris Tormey,Nevada,2000,2,12,10,2,12,0.0
Jackie Sherrill,Mississippi State,2000,8,12,4,8,12,0.0
Bob Simmons,Oklahoma State,2000,3,11,8,3,11,0.0
R.C. Slocum,Texas A&M,2000,7,12,5,7,12,0.0
John Smith,Louisville,2000,9,12,3,9,12,0.0
Tommy Bowden,Clemson,2000,9,12,3,9,12,0.0
Larry Smith,Missouri,2000,3,11,8,3,11,0.0
Bill Snyder,Kansas State,2000,11,14,3,11,14,0.0
Bruce Snyder,Arizona State,2000,6,12,6,6,12,0.0
Terry Shea,Rutgers,2000,3,11,8,3,11,0.0
Jeff Bower,Southern Mississippi,2000,8,12,4,8,12,0.0
Frank Solich,Nebraska,2000,10,12,2,10,12,0.0
Jim Caldwell,Wake Forest,2000,2,11,9,2,11,0.0
Steve Spurrier,Florida,2000,10,13,3,10,13,0.0
Keith Burns,Tulsa,2000,5,12,7,5,12,0.0
Watson Brown,UAB,2000,7,11,4,7,11,0.0
Kevin Steele,Baylor,2000,2,11,9,2,11,0.0
Mack Brown,Texas,2000,9,12,3,9,12,0.0
Bob Stoops,Oklahoma,2000,13,13,0,13,13,0.0
Cam Cameron,Indiana,2000,3,11,8,3,11,0.0
Ron McBride,Utah,2000,4,11,7,4,11,0.0
Lloyd Carr,Michigan,2000,9,12,3,9,12,0.0
Bobby Bowden,Florida State,2000,11,13,2,11,13,0.0
Carl Torbush,North Carolina,2000,6,11,5,6,11,0.0
Butch Davis,Miami,2000,11,12,1,11,12,0.0
Bob Pruett,Marshall,2000,8,13,5,8,13,0.0
Dick Tomey,Arizona,2000,5,11,6,5,11,0.0
Gary Blackney,Bowling Green,2000,2,11,9,2,11,0.0
Ted Tollner,San Diego State,2000,3,11,8,3,11,0.0
Bob Davie,Notre Dame,2000,9,12,3,9,12,0.0
Gary Darnell,Western Michigan,2000,9,12,3,9,12,0.0
Mike Cavan,SMU,2000,3,12,9,3,12,0.0
David Cutcliffe,Ole Miss,2000,7,12,5,7,12,0.0
John Robinson,UNLV,2000,8,13,5,8,13,0.0
Joe Tiller,Purdue,2000,8,12,4,8,12,0.0
John Cooper,Ohio State,2000,8,12,4,8,12,0.0
Nick Saban,LSU,2000,8,12,4,8,12,0.0
Tony Samuel,New Mexico State,2000,3,11,8,3,11,0.0
Craig Cirbus,Buffalo,2000,2,11,9,2,11,0.0
Chris Scelfo,Tulane,2000,6,11,5,6,11,0.0
Rip Scherer,Memphis,2000,4,11,7,4,11,0.0
Bob Toledo,UCLA,2000,6,12,6,6,12,0.0
Charlie Weatherbie,Navy,2000,1,11,10,1,11,0.0
Tommy Tuberville,Auburn,2000,9,13,4,9,13,0.0
Barry Alvarez,Wisconsin,2000,9,13,4,9,13,0.0
Terry Allen,Kansas,2000,4,11,7,4,11,0.0
Bobby Keasler,Louisiana Monroe,2000,1,11,10,1,11,0.0
Rocky Long,New Mexico,2000,5,12,7,5,12,0.0
Chuck Amato,NC State,2000,8,12,4,8,12,0.0
Jim Grobe,Ohio,2000,7,11,4,7,11,0.0
Tom Holmoe,California,2000,3,11,8,3,11,0.0
Walt Harris,Pittsburgh,2000,7,12,5,7,12,0.0
George Welsh,Virginia,2000,6,12,6,6,12,0.0
Mike Kruczek,UCF,2000,7,11,4,7,11,0.0
Jim Leavitt,South Florida,2000,7,11,4,7,11,0.0
Bill Lynch,Ball State,2000,5,11,6,5,11,0.0
Jeff Woodruff,Eastern Michigan,2000,3,11,8,3,11,0.0
Bobby Williams,Michigan State,2000,5,11,6,5,11,0.0
Sonny Lubick,Colorado State,2000,10,12,2,10,12,0.0
Mike Leach,Texas Tech,2000,7,13,6,7,13,0.0
Paul Hackett,USC,2000,5,12,7,5,12,0.0
Phillip Fulmer,Tennessee,2000,8,12,4,8,12,0.0
Vic Koenning,Wyoming,2000,1,11,10,1,11,0.0
Woody Widenhofer,Vanderbilt,2000,3,11,8,3,11,0.0
Dirk Koetter,Boise State,2000,10,12,2,10,12,0.0
Joe Hollis,Arkansas State,2000,1,11,10,1,11,0.0
Ken Hatfield,Rice,2000,3,11,8,3,11,0.0
Glen Mason,Minnesota,2000,6,12,6,6,12,0.0
June Jones,Hawai'i,2000,3,12,9,3,12,0.0
Tyrone Willingham,Stanford,2000,5,11,6,5,11,0.0
Steve Logan,East Carolina,2000,8,12,4,8,12,0.0
Pat Hill,Fresno State,2000,7,12,5,7,12,0.0
Terry Hoeppner,Miami (OH),2000,6,11,5,6,11,0.0
Mike DeBord,Central Michigan,2001,3,11,8,5,22,0.18181818181818182
Dan Hawkins,Boise State,2001,8,12,4,8,12,0.0
Gary Patterson,TCU,2001,6,12,6,16,24,0.8333333333333334
Bobby Williams,Michigan State,2001,7,12,5,12,23,0.45454545454545453
Steve Logan,East Carolina,2001,6,12,6,14,24,0.6666666666666666
Joe Hollis,Arkansas State,2001,2,11,9,3,22,0.09090909090909091
R.C. Slocum,Texas A&M,2001,8,12,4,15,24,0.5833333333333334
Dean Pees,Kent State,2001,6,11,5,7,22,0.09090909090909091
Jackie Sherrill,Mississippi State,2001,3,11,8,11,23,0.6666666666666666
Jack Bicknell,Louisiana Tech,2001,7,12,5,10,24,0.25
