coach,team,year,wins,games,losses,cumulative_wins,cumulative_games,career_win_pct
Kevin Wilson,Tulsa,2023,4,12,8,29,74,0.3918918918918919
Kane Wommack,South Alabama,2023,7,13,6,22,38,0.5789473684210527
Mario Cristobal,Miami,2023,7,13,6,74,147,0.5034013605442177
Dana Holgorsen,Houston,2023,4,12,8,92,161,0.5714285714285714
Ryan Day,Ohio State,2023,11,13,2,66,75,0.88
Mike Houston,East Carolina,2023,2,12,10,24,58,0.41379310344827586
Chris Creighton,Eastern Michigan,2023,6,13,7,52,120,0.43333333333333335
Brent Pry,Virginia Tech,2023,7,13,6,10,24,0.4166666666666667
Trent Dilfer,UAB,2023,4,12,8,4,12,0.3333333333333333
Ken Wilson,Nevada,2023,2,12,10,4,24,0.16666666666666666
Michael Desormeaux,Louisiana,2023,6,13,7,25,40,0.625
Justin Wilcox,California,2023,6,13,7,36,79,0.45569620253164556
Matt Rhule,Nebraska,2023,5,12,7,52,103,0.5048543689320388
Josh Heupel,Tennessee,2023,9,13,4,55,75,0.7333333333333333
Stan Drayton,Temple,2023,3,12,9,6,24,0.25
Tom Herman,Florida Atlantic,2023,4,12,8,58,89,0.651685393258427
Kalen DeBoer,Washington,2023,14,15,1,38,47,0.8085106382978723
Dana Dimel,UTEP,2023,3,12,9,28,103,0.27184466019417475
Tim Albin,Ohio,2023,10,13,3,23,39,0.5897435897435898
Kyle Whittingham,Utah,2023,8,13,5,173,252,0.6865079365079365
Jake Dickert,Washington State,2023,5,12,7,19,38,0.5
Brady Hoke,San Diego State,2023,4,12,8,109,208,0.5240384615384616
Lincoln Riley,USC,2023,8,13,5,75,93,0.8064516129032258
Eli Drinkwitz,Missouri,2023,11,13,2,41,63,0.6507936507936508
Butch Jones,Arkansas State,2023,6,13,7,97,179,0.5418994413407822
Kenny Dillingham,Arizona State,2023,3,12,9,3,12,0.25
Tyson Helton,Western Kentucky,2023,8,13,5,40,66,0.6060606060606061
Sonny Cumbie,Louisiana Tech,2023,3,12,9,13,37,0.35135135135135137
Ricky Rahne,Old Dominion,2023,6,13,7,15,38,0.39473684210526316
Charles Huff,Marshall,2023,6,13,7,22,39,0.5641025641025641
Sonny Dykes,TCU,2023,5,12,7,89,160,0.55625
Clay Helton,Georgia Southern,2023,6,13,7,73,124,0.5887096774193549
Tom Allen,Indiana,2023,3,12,9,39,94,0.4148936170212766
Dave Doeren,NC State,2023,9,13,4,104,167,0.6227544910179641
Pat Narduzzi,Pittsburgh,2023,3,12,9,65,115,0.5652173913043478
Mike Elko,Duke,2023,8,13,5,17,26,0.6538461538461539
Mike Locksley,Maryland,2023,8,13,5,31,92,0.33695652173913043
Pat Fitzgerald,Northwestern,2023,8,13,5,118,224,0.5267857142857143
Matt Campbell,Iowa State,2023,7,13,6,97,164,0.5914634146341463
Dabo Swinney,Clemson,2023,9,13,4,173,219,0.7899543378995434
Jonathan Smith,Oregon State,2023,8,13,5,34,70,0.4857142857142857
Maurice Linguist,Buffalo,2023,3,12,9,14,37,0.3783783783783784
Kirby Smart,Georgia,2023,13,14,1,94,110,0.8545454545454545
Lance Taylor,Western Michigan,2023,4,12,8,4,12,0.3333333333333333
Troy Taylor,Stanford,2023,3,12,9,3,12,0.25
P.J. Fleck,Minnesota,2023,6,13,7,80,136,0.5882352941176471
Craig Bohl,Wyoming,2023,9,13,4,61,121,0.5041322314049587
Jeff Monken,Army,2023,6,12,6,70,125,0.56
Ryan Silverfield,Memphis,2023,10,13,3,31,49,0.6326530612244898
Jeff Tedford,Fresno State,2023,9,13,4,127,206,0.616504854368932
Jason Candle,Toledo,2023,11,14,3,74,111,0.6666666666666666
Jimbo Fisher,Texas A&M,2023,7,13,6,131,181,0.7237569060773481
Mike Bloomgren,Rice,2023,6,13,7,22,68,0.3235294117647059
Lance Leipold,Kansas,2023,9,13,4,54,108,0.5
Joe Moorhead,Akron,2023,2,12,10,18,50,0.36
Jim Mora,Connecticut,2023,3,12,9,56,103,0.5436893203883495
Kalani Sitake,BYU,2023,5,12,7,61,102,0.5980392156862745
Joey McGuire,Texas Tech,2023,7,13,6,15,26,0.5769230769230769
Scot Loeffler,Bowling Green,2023,7,13,6,20,55,0.36363636363636365
Jon Sumrall,Troy,2023,11,14,3,23,28,0.8214285714285714
Rick Stockstill,Middle Tennessee,2023,4,12,8,113,224,0.5044642857142857
Gus Malzahn,UCF,2023,6,13,7,102,157,0.6496815286624203
Chuck Martin,Miami (OH),2023,11,14,3,56,118,0.4745762711864407
Willie Fritz,Tulane,2023,11,14,3,72,127,0.5669291338582677
Jeff Brohm,Louisville,2023,10,14,4,77,126,0.6111111111111112
Don Brown,UMass,2023,3,12,9,4,24,0.16666666666666666
Biff Poggi,Charlotte,2023,3,12,9,3,12,0.25
Mack Brown,North Carolina,2023,8,13,5,178,245,0.726530612244898
Mark Stoops,Kentucky,2023,7,13,6,72,138,0.5217391304347826
Mike MacIntyre,Florida International,2023,4,12,8,55,137,0.40145985401459855
Brent Brennan,San José State,2023,7,13,6,34,82,0.4146341463414634
Hugh Freeze,Auburn,2023,6,13,7,89,140,0.6357142857142857
Terry Bowden,Louisiana Monroe,2023,2,12,10,45,123,0.36585365853658536
Neal Brown,West Virginia,2023,9,13,4,66,111,0.5945945945945946
Kenni Burns,Kent State,2023,1,12,11,1,12,0.08333333333333333
Marcus Freeman,Notre Dame,2023,10,13,3,30,39,0.7692307692307693
James Franklin,Penn State,2023,10,13,3,112,166,0.6746987951807228
Alex Golesh,South Florida,2023,7,13,6,7,13,0.5384615384615384
Danny Gonzales,New Mexico,2023,4,12,8,11,43,0.2558139534883721
Troy Calhoun,Air Force,2023,9,13,4,130,212,0.6132075471698113
Jim McElwain,Central Michigan,2023,5,12,7,74,134,0.5522388059701493
Eric Morris,North Texas,2023,5,12,7,5,12,0.4166666666666667
Blake Anderson,Utah State,2023,6,13,7,85,142,0.5985915492957746
Bret Bielema,Illinois,2023,5,12,7,115,193,0.5958549222797928
Jamey Chadwell,Liberty,2023,13,14,1,52,76,0.6842105263157895
Brian Newberry,Navy,2023,5,12,7,5,12,0.4166666666666667
G.J. Kinne,Texas State,2023,8,13,5,8,13,0.6153846153846154
Jerry Kill,New Mexico State,2023,10,15,5,77,144,0.5347222222222222
Dino Babers,Syracuse,2023,6,13,7,60,126,0.47619047619047616
Nick Saban,Alabama,2023,12,14,2,254,299,0.8494983277591973
Lane Kiffin,Ole Miss,2023,11,13,2,103,154,0.6688311688311688
Ryan Walters,Purdue,2023,4,12,8,4,12,0.3333333333333333
Andy Avalos,Boise State,2023,8,14,6,25,40,0.625
