name,team,year,games,wins,losses
Eli Abbott,Alabama,1902,8,4,4
Earl Abell,Colgate,1928,9,6,3
Earl Abell,Virginia,1929,9,4,3
Earl Abell,Virginia,1930,10,4,6
Earl Able,Mississippi State,1923,9,5,2
Earl Able,Mississippi State,1924,9,5,4
Hobbs Adams,Kansas State,1940,9,2,7
Hobbs Adams,Kansas State,1941,9,2,5
Hobbs Adams,Kansas State,1946,9,0,9
Steve Addazio,Temple,2011,13,9,4
Steve Addazio,Temple,2012,11,4,7
Steve Addazio,Boston College,2013,13,7,6
Steve Addazio,Boston College,2014,13,7,6
Steve Addazio,Boston College,2015,12,3,9
Steve Addazio,Boston College,2016,13,7,6
Steve Addazio,Boston College,2017,13,7,6
Steve Addazio,Boston College,2018,12,7,5
Steve Addazio,Boston College,2019,12,6,6
Steve Addazio,Colorado State,2020,4,1,3
Steve Addazio,Colorado State,2021,12,3,9
Alex Agase,Northwestern,1964,9,3,6
Alex Agase,Northwestern,1965,10,4,6
Alex Agase,Northwestern,1966,10,3,6
Alex Agase,Northwestern,1967,10,3,7
Alex Agase,Northwestern,1968,10,1,9
Alex Agase,Northwestern,1969,10,3,7
Alex Agase,Northwestern,1970,10,6,4
Alex Agase,Northwestern,1971,11,7,4
Alex Agase,Northwestern,1972,11,2,9
Alex Agase,Purdue,1973,11,5,6
Alex Agase,Purdue,1974,11,4,6
Alex Agase,Purdue,1975,11,4,7
Alex Agase,Purdue,1976,11,5,6
Shaun Aguano,Arizona State,2022,9,2,7
Jim Aiken,Nevada,1946,9,7,2
Jim Aiken,Oregon,1947,10,7,3
Jim Aiken,Oregon,1948,11,9,2
Jim Aiken,Oregon,1949,10,4,6
Jim Aiken,Oregon,1950,10,1,9
Fred Akers,Wyoming,1975,11,2,9
Fred Akers,Wyoming,1976,12,8,4
Fred Akers,Texas,1977,12,11,1
Fred Akers,Texas,1978,12,9,3
Fred Akers,Texas,1979,12,9,3
Fred Akers,Texas,1980,12,7,5
Fred Akers,Texas,1981,12,10,1
Fred Akers,Texas,1982,12,9,3
Fred Akers,Texas,1983,12,11,1
Fred Akers,Texas,1984,12,7,4
Fred Akers,Texas,1985,12,8,4
Fred Akers,Texas,1986,11,5,6
Fred Akers,Purdue,1987,11,3,7
Fred Akers,Purdue,1988,11,4,7
Fred Akers,Purdue,1989,11,3,8
Fred Akers,Purdue,1990,11,2,9
Tim Albin,Ohio,2021,12,3,9
Tim Albin,Ohio,2022,14,10,4
Tim Albin,Ohio,2023,3,2,1
Ray Alborn,Rice,1978,11,2,9
Ray Alborn,Rice,1979,11,1,10
Ray Alborn,Rice,1980,11,5,6
Ray Alborn,Rice,1981,11,4,7
Ray Alborn,Rice,1982,11,0,11
Ray Alborn,Rice,1983,11,1,10
Josh Aldridge,Liberty,2022,1,0,1
S.M. Alexander,Duke,1923,9,5,4
William Alexander,Georgia Tech,1920,9,8,1
William Alexander,Georgia Tech,1921,9,8,1
William Alexander,Georgia Tech,1922,9,7,2
William Alexander,Georgia Tech,1923,9,3,2
William Alexander,Georgia Tech,1924,9,5,3
William Alexander,Georgia Tech,1925,9,6,2
William Alexander,Georgia Tech,1926,9,4,5
William Alexander,Georgia Tech,1927,10,8,1
William Alexander,Georgia Tech,1928,10,10,0
William Alexander,Georgia Tech,1929,9,3,6
William Alexander,Georgia Tech,1930,9,2,6
William Alexander,Georgia Tech,1931,10,2,7
William Alexander,Georgia Tech,1932,10,4,5
William Alexander,Georgia Tech,1933,10,5,5
William Alexander,Georgia Tech,1934,10,1,9
William Alexander,Georgia Tech,1935,10,5,5
William Alexander,Georgia Tech,1936,11,5,5
William Alexander,Georgia Tech,1937,10,6,3
William Alexander,Georgia Tech,1938,10,3,4
William Alexander,Georgia Tech,1939,10,8,2
William Alexander,Georgia Tech,1940,10,3,7
William Alexander,Georgia Tech,1941,9,3,6
William Alexander,Georgia Tech,1942,11,9,2
William Alexander,Georgia Tech,1943,11,8,3
William Alexander,Georgia Tech,1944,11,8,3
Phog Allen,Kansas,1920,8,5,2
Pokey Allen,Boise State,1996,2,1,1
Terry Allen,Kansas,1997,11,5,6
Terry Allen,Kansas,1998,11,4,7
Terry Allen,Kansas,1999,12,5,7
Terry Allen,Kansas,2000,11,4,7
Terry Allen,Kansas,2001,8,2,6
Tom Allen,Indiana,2016,1,0,1
Tom Allen,Indiana,2017,12,5,7
Tom Allen,Indiana,2018,12,5,7
Tom Allen,Indiana,2019,13,8,5
Tom Allen,Indiana,2020,8,6,2
Tom Allen,Indiana,2021,12,2,10
Tom Allen,Indiana,2022,12,4,8
Tom Allen,Indiana,2023,2,1,1
Dave Allerdice,Texas,1911,7,5,2
Dave Allerdice,Texas,1912,8,7,1
Dave Allerdice,Texas,1913,8,7,1
Dave Allerdice,Texas,1914,8,8,0
Dave Allerdice,Texas,1915,9,6,3
Tom Alley,Louisville,1973,11,5,6
Tom Alley,Louisville,1974,11,4,7
Stub Allison,Washington,1920,6,1,5
Stub Allison,California,1935,10,9,1
Stub Allison,California,1936,11,6,5
Stub Allison,California,1937,11,10,0
Stub Allison,California,1938,11,10,1
Stub Allison,California,1939,10,3,7
Stub Allison,California,1940,10,4,6
Stub Allison,California,1941,9,4,5
Stub Allison,California,1942,10,5,5
Stub Allison,California,1943,10,4,6
Stub Allison,California,1944,10,3,6
Billy Alton,UTEP,1981,9,1,8
Barry Alvarez,Wisconsin,1990,11,1,10
Barry Alvarez,Wisconsin,1991,11,5,6
Barry Alvarez,Wisconsin,1992,11,5,6
Barry Alvarez,Wisconsin,1993,12,10,1
Barry Alvarez,Wisconsin,1994,12,7,4
Barry Alvarez,Wisconsin,1995,11,4,5
Barry Alvarez,Wisconsin,1996,13,8,5
Barry Alvarez,Wisconsin,1997,13,8,5
Barry Alvarez,Wisconsin,1998,12,11,1
Barry Alvarez,Wisconsin,1999,12,10,2
Barry Alvarez,Wisconsin,2000,13,9,4
Barry Alvarez,Wisconsin,2001,12,5,7
Barry Alvarez,Wisconsin,2002,14,8,6
Barry Alvarez,Wisconsin,2003,13,7,6
Barry Alvarez,Wisconsin,2004,12,9,3
Barry Alvarez,Wisconsin,2005,13,10,3
Barry Alvarez,Wisconsin,2012,1,0,1
Barry Alvarez,Wisconsin,2014,1,1,0
Chuck Amato,NC State,2000,12,8,4
Chuck Amato,NC State,2001,12,7,5
Chuck Amato,NC State,2002,14,11,3
Chuck Amato,NC State,2003,13,8,5
Chuck Amato,NC State,2004,11,5,6
Chuck Amato,NC State,2005,12,7,5
Chuck Amato,NC State,2006,12,3,9
Paul Amen,Wake Forest,1956,10,2,5
Paul Amen,Wake Forest,1957,10,0,10
Paul Amen,Wake Forest,1958,10,3,7
Paul Amen,Wake Forest,1959,10,6,4
Knowlton Ames,Purdue,1892,8,8,0
Knowlton Ames,Northwestern,1892,10,5,3
Tom Amstutz,Toledo,2001,12,10,2
Tom Amstutz,Toledo,2002,14,9,5
Tom Amstutz,Toledo,2003,12,8,4
Tom Amstutz,Toledo,2004,13,9,4
Tom Amstutz,Toledo,2005,12,9,3
Tom Amstutz,Toledo,2006,12,5,7
Tom Amstutz,Toledo,2007,12,5,7
Tom Amstutz,Toledo,2008,12,3,9
Gary Andersen,Utah State,2009,12,4,8
Gary Andersen,Utah State,2010,12,4,8
Gary Andersen,Utah State,2011,13,7,6
Gary Andersen,Utah State,2012,13,11,2
Gary Andersen,Wisconsin,2013,13,9,4
Gary Andersen,Wisconsin,2014,13,10,3
Gary Andersen,Oregon State,2015,12,2,10
Gary Andersen,Oregon State,2016,12,4,8
Gary Andersen,Oregon State,2017,6,1,5
Gary Andersen,Utah State,2019,13,7,6
Gary Andersen,Utah State,2020,3,0,3
Blake Anderson,Arkansas State,2014,13,7,6
Blake Anderson,Arkansas State,2015,13,9,4
Blake Anderson,Arkansas State,2016,13,8,5
Blake Anderson,Arkansas State,2017,12,7,5
Blake Anderson,Arkansas State,2018,13,8,5
Blake Anderson,Arkansas State,2019,13,8,5
Blake Anderson,Arkansas State,2020,11,4,7
Blake Anderson,Utah State,2021,14,11,3
Blake Anderson,Utah State,2022,13,6,7
Blake Anderson,Utah State,2023,2,1,1
Blake Anderson,Utah State,2021,0,0,0
Dick Anderson,Rutgers,1984,10,7,3
Dick Anderson,Rutgers,1985,11,2,8
Dick Anderson,Rutgers,1986,11,5,5
Dick Anderson,Rutgers,1987,11,6,5
Dick Anderson,Rutgers,1988,11,5,6
Dick Anderson,Rutgers,1989,11,2,7
Edward Anderson,Holy Cross,1938,9,8,1
Edward Anderson,Iowa,1939,8,6,1
Edward Anderson,Iowa,1940,8,4,4
Edward Anderson,Iowa,1941,8,3,5
Edward Anderson,Iowa,1942,10,6,4
Edward Anderson,Iowa,1946,9,5,4
Edward Anderson,Iowa,1947,9,3,5
Edward Anderson,Iowa,1948,9,4,5
Edward Anderson,Iowa,1949,9,4,5
Edward Anderson,Holy Cross,1950,10,4,5
Edward Anderson,Holy Cross,1951,10,8,2
Edward Anderson,Holy Cross,1952,10,8,2
Edward Anderson,Holy Cross,1953,10,5,5
Edward Anderson,Holy Cross,1954,10,3,7
Edward Anderson,Holy Cross,1955,10,6,4
Edward Anderson,Holy Cross,1956,9,5,3
Edward Anderson,Holy Cross,1957,9,5,3
Edward Anderson,Holy Cross,1958,9,6,3
Edward Anderson,Holy Cross,1959,10,6,4
Edward Anderson,Holy Cross,1960,10,6,4
Edward Anderson,Holy Cross,1961,10,7,3
Edward Anderson,Holy Cross,1962,10,6,4
Edward Anderson,Holy Cross,1963,9,2,6
Edward Anderson,Holy Cross,1964,10,5,5
Harry Anderson,San José State,1965,10,5,5
Harry Anderson,San José State,1966,10,3,7
Harry Anderson,San José State,1967,9,2,7
Harry Anderson,San José State,1968,10,3,7
Hunk Anderson,Notre Dame,1931,9,6,2
Hunk Anderson,Notre Dame,1932,9,7,2
Hunk Anderson,Notre Dame,1933,9,3,5
Hunk Anderson,NC State,1934,9,2,6
Hunk Anderson,NC State,1935,10,6,4
Hunk Anderson,NC State,1936,10,3,7
John Anderson,Rice,1918,7,1,5
John Anderson,Brown,1973,8,4,3
John Anderson,Brown,1974,9,5,4
John Anderson,Brown,1975,9,6,2
John Anderson,Brown,1976,9,8,1
John Anderson,Brown,1977,9,7,2
John Anderson,Brown,1978,9,6,3
John Anderson,Brown,1979,9,6,3
John Anderson,Brown,1980,10,6,4
John Anderson,Brown,1981,10,3,7
Lew Andreas,Syracuse,1927,10,5,3
Lew Andreas,Syracuse,1928,9,4,4
Lew Andreas,Syracuse,1929,9,6,3
Dee Andros,Idaho,1962,9,2,6
Dee Andros,Idaho,1963,9,5,4
Dee Andros,Idaho,1964,10,4,6
Dee Andros,Oregon State,1965,10,5,5
Dee Andros,Oregon State,1966,10,7,3
Dee Andros,Oregon State,1967,10,7,2
Dee Andros,Oregon State,1968,10,7,3
Dee Andros,Oregon State,1969,10,6,4
Dee Andros,Oregon State,1970,11,6,5
Dee Andros,Oregon State,1971,11,5,6
Dee Andros,Oregon State,1972,11,2,9
Dee Andros,Oregon State,1973,11,2,9
Dee Andros,Oregon State,1974,11,3,8
Dee Andros,Oregon State,1975,11,1,10
Moe Ankney,Bowling Green,1986,11,5,6
Moe Ankney,Bowling Green,1987,11,5,6
Moe Ankney,Bowling Green,1988,11,2,8
Moe Ankney,Bowling Green,1989,11,5,6
Moe Ankney,Bowling Green,1990,10,3,5
Major Applewhite,Houston,2016,1,0,1
Major Applewhite,Houston,2017,12,7,5
Major Applewhite,Houston,2018,13,8,5
Dave Aranda,Baylor,2020,9,2,7
Dave Aranda,Baylor,2021,14,12,2
Dave Aranda,Baylor,2022,13,6,7
Dave Aranda,Baylor,2023,2,0,2
Phillip Arbuckle,Rice,1914,8,3,2
Phillip Arbuckle,Rice,1915,8,5,3
Phillip Arbuckle,Rice,1916,9,6,1
Phillip Arbuckle,Rice,1917,8,7,1
Phillip Arbuckle,Rice,1919,9,8,1
Phillip Arbuckle,Rice,1920,8,4,2
Phillip Arbuckle,Rice,1921,9,4,4
Phillip Arbuckle,Rice,1922,8,4,4
Phillip Arbuckle,Rice,1923,8,3,5
Mike Archer,LSU,1987,12,10,1
Mike Archer,LSU,1988,12,8,4
Mike Archer,LSU,1989,11,4,7
Mike Archer,LSU,1990,11,5,6
Bruce Arians,Temple,1983,11,4,7
Bruce Arians,Temple,1984,11,6,5
Bruce Arians,Temple,1985,11,4,7
Bruce Arians,Temple,1986,11,6,5
Bruce Arians,Temple,1987,11,3,8
Bruce Arians,Temple,1988,11,4,7
Ike Armstrong,Utah,1925,8,6,2
Ike Armstrong,Utah,1926,7,7,0
Ike Armstrong,Utah,1927,7,3,3
Ike Armstrong,Utah,1928,7,5,0
Ike Armstrong,Utah,1929,7,7,0
Ike Armstrong,Utah,1930,8,8,0
