name,team,conference,year,pick,round,position
Courtney Brown,Penn State,Big Ten,2000,1,1,Defensive End
LaVar Arrington,Penn State,Big Ten,2000,2,1,Linebacker
Chris Samuels,Alabama,SEC,2000,3,1,Offensive Tackle
Peter Warrick,Florida State,ACC,2000,4,1,Wide Receiver
Jamal Lewis,Tennessee,SEC,2000,5,1,Running Back
Corey Simon,Florida State,ACC,2000,6,1,Defensive Tackle
Thomas Jones,Virginia,ACC,2000,7,1,Running Back
Plaxico Burress,Michigan State,Big Ten,2000,8,1,Wide Receiver
Brian Urlacher,New Mexico,Mountain West,2000,9,1,Linebacker
Travis Taylor,Florida,SEC,2000,10,1,Wide Receiver
Ron Dayne,Wisconsin,Big Ten,2000,11,1,Running Back
Shaun Ellis,Tennessee,SEC,2000,12,1,Defensive End
John Abraham,South Carolina,SEC,2000,13,1,Linebacker
Bubba Franks,Miami,Big East,2000,14,1,Tight End
Deltha O'Neal,California,Pac-10,2000,15,1,Defensive Back
Julian Peterson,Michigan State,Big Ten,2000,16,1,Linebacker
Sebastian Janikowski,Florida State,ACC,2000,17,1,Place Kicker
Chad Pennington,Marshall,Mid-American,2000,18,1,Quarterback
Shaun Alexander,Alabama,SEC,2000,19,1,Running Back
Stockar McDougle,Oklahoma,Big 12,2000,20,1,Offensive Tackle
Sylvester Morris,Jackson State,,2000,21,1,Wide Receiver
Chris McIntosh,Wisconsin,Big Ten,2000,22,1,Offensive Tackle
Rashard Anderson,Jackson State,,2000,23,1,Defensive Back
Ahmed Plummer,Ohio State,Big Ten,2000,24,1,Defensive Back
Chris Hovan,Boston College,Big East,2000,25,1,Defensive Tackle
Erik Flowers,Arizona State,Pac-10,2000,26,1,Defensive End
Anthony Becht,West Virginia,Big East,2000,27,1,Tight End
Rob Morris,BYU,Mountain West,2000,28,1,Linebacker
R. Jay Soward,USC,Pac-10,2000,29,1,Wide Receiver
Keith Bulluck,Syracuse,Big East,2000,30,1,Linebacker
Trung Canidate,Arizona,Pac-10,2000,31,1,Running Back
Dennis Northcutt,Arizona,Pac-10,2000,1,2,Wide Receiver
Darren Howard,Kansas State,Big 12,2000,2,2,Defensive End
Mark Roman,LSU,SEC,2000,3,2,Defensive Back
John Engelberger,Virginia Tech,Big East,2000,4,2,Defensive End
Todd Pinkston,Southern Mississippi,Conference USA,2000,5,2,Wide Receiver
Travis Claridge,USC,Pac-10,2000,6,2,Offensive Tackle
Marvel Smith,Arizona State,Pac-10,2000,7,2,Offensive Tackle
Mike Brown,Nebraska,Big 12,2000,8,2,Defensive Back
Ian Gold,Michigan,Big Ten,2000,9,2,Linebacker
Raynoch Thompson,Tennessee,SEC,2000,10,2,Linebacker
Cornelius Griffin,Alabama,SEC,2000,11,2,Defensive Tackle
Rogers Beckett,Marshall,Mid-American,2000,12,2,Defensive Back
Chad Clifton,Tennessee,SEC,2000,13,2,Offensive Tackle
Kenoy Kennedy,Arkansas,SEC,2000,14,2,Defensive Back
Adrian Klemm,Hawai'i,Western Athletic,2000,15,2,Offensive Tackle
Jerry Porter,West Virginia,Big East,2000,16,2,Wide Receiver
Jason Webster,Texas A&M,Big 12,2000,17,2,Defensive Back
Dwayne Goodrich,Tennessee,SEC,2000,18,2,Defensive Back
Barrett Green,West Virginia,Big East,2000,19,2,Linebacker
Cosey Coleman,Tennessee,SEC,2000,20,2,Offensive Guard
Ike Charlton,Virginia Tech,Big East,2000,21,2,Defensive Back
Todd Wade,Ole Miss,SEC,2000,22,2,Offensive Tackle
William Bartee,Oklahoma,Big 12,2000,23,2,Defensive Back
Fred Robbins,Wake Forest,ACC,2000,24,2,Defensive Tackle
Michael Boireau,Miami,Big East,2000,25,2,Defensive End
Deon Grant,Tennessee,SEC,2000,26,2,Defensive Back
Travares Tillman,Georgia Tech,ACC,2000,27,2,Defensive Back
Marcus Washington,Auburn,SEC,2000,28,2,Linebacker
Brad Meester,Northern Iowa,,2000,29,2,Center
Bobbie Williams,Arkansas,SEC,2000,30,2,Offensive Guard
