team,rank
Florida Gators,1
Georgia Tech Yellow Jackets,2
Oklahoma Sooners,3
USC Trojans,4
Houston Cougars,5
Alabama Crimson Tide,6
Vanderbilt Commodores,6
Colorado Buffaloes,8
Arkansas Razorbacks,9
Purdue Boilermakers,10
Mississippi State Bulldogs,11
UCLA Bruins,12
Georgia Bulldogs,13
Wisconsin Badgers,14
Arizona State Sun Devils,15
Kentucky Wildcats,16
South Carolina Gamecocks,16
Michigan Wolverines,18
West Virginia Mountaineers,19
Clemson Tigers,20
Florida State Seminoles,21
Illinois Fighting Illini,21
Kansas State Wildcats,23
TCU Horned Frogs,24
LSU Tigers,25
Texas A&M Aggies,25
BYU Cougars,27
Washington Huskies,28
Stanford Cardinal,29
Oregon Ducks,30
Wake Forest Demon Deacons,31
Baylor Bears,32
Northwestern Wildcats,32
Ohio State Buckeyes,34
Texas Longhorns,34
Boston College Eagles,34
Duke Blue Devils,37
Minnesota Golden Gophers,38
Michigan State Spartans,38
Texas Tech Red Raiders,40
Notre Dame Fighting Irish,41
Utah Utes,42
Auburn Tigers,43
Virginia Cavaliers,43
Penn State Nittany Lions,45
Miami (FL) Hurricanes,45
Tennessee Volunteers,47
UCF Knights,48
Maryland Terrapins,49
Oklahoma State Cowboys,50
Iowa State Cyclones,51
Iowa Hawkeyes,52
Ole Miss Rebels,53
Louisville Cardinals,54
Nebraska Cornhuskers,55
Indiana Hoosiers,56
Cincinnati Bearcats,57
North Carolina Tar Heels,58
California Golden Bears,59
Arizona Wildcats,60
Kansas Jayhawks,61
ODU Monarchs,62
Syracuse Orange,63
Pittsburgh Panthers,64
Rutgers Scarlet Knights,65
Georgia Southern Eagles,66
UMass Minutemen,67
Tulane Green Wave,68
Memphis Tigers,69
Appalachian State Mountaineers,70
NC State Wolfpack,71
Marshall Thundering Herd,72
USF Bulls,73
Middle Tennessee Blue Raiders,74
Akron Zips,75
Southern Miss Golden Eagles,76
South Alabama Jaguars,77
Missouri Tigers,78
Virginia Tech Hokies,79
Ball State Cardinals,80
Charlotte 49ers,81
Kent State Golden Flashes,82
UL-Monroe WarHawks,83
Northern Illinois Huskies,84
SMU Mustangs,85
Navy Midshipmen,86
Coastal Carolina Chanticleers,87
Miami (OH) RedHawks,88
Rice Owls,89
Georgia State Panthers,90
Temple Owls,91
Bowling Green Falcons,92
UAB Blazers,93
UTEP Miners,94
Western Michigan Broncos,95
Oregon State Beavers,96
Sam Houston Bearkats,97
Nevada Wolf Pack,98
Arkansas State Red Wolves,99
Central Michigan Chippewas,100
Utah State Aggies,101
UTSA Roadrunners,102
New Mexico Lobos,103
Western Kentucky Hilltoppers,104
Boise State Broncos,105
San Diego State Aztecs,106
UNLV Rebels,107
North Texas Mean Green,108
Jacksonville State Gamecocks,109
ECU Pirates,110
Fresno State Bulldogs,111
Tulsa Golden Hurricane,112
San Jose State Spartans,113
Troy Trojans,114
New Mexico State Aggies,115
Ohio Bobcats,116
Eastern Michigan Eagles,115
Toledo Rockets,118
Washington State Cougars,119
JMU Dukes,120
Wyoming Cowboys,121
Louisiana Ragin’ Cajuns,122
Colorado State Rams,123
Buffalo Bulls,124
Louisiana Tech Bulldogs,125
FAU Owls,126
Kennesaw State Owls,127
Army Black Knights,128
Hawaii Rainbow Warriors,129
Texas State Bobcats,130
FIU Panthers,131
Liberty Flames,132
UConn Huskies,133
Air Force Falcons,134
