team,year,conference,expected_wins,win_pct,recent_win_pct
Air Force,2000,Mountain West,0.0,0.75,0.75
Akron,2000,Mid-American,0.0,0.5454545454545454,0.5454545454545454
Alabama,2000,SEC,0.0,0.2727272727272727,0.2727272727272727
Arizona,2000,Pac-10,0.0,0.45454545454545453,0.45454545454545453
Arizona State,2000,Pac-10,0.0,0.5,0.5
Arkansas,2000,SEC,0.0,0.5,0.5
Arkansas State,2000,Big West,0.0,0.09090909090909091,0.09090909090909091
Army,2000,Conference USA,0.0,0.09090909090909091,0.09090909090909091
Auburn,2000,SEC,0.0,0.6923076923076923,0.6923076923076923
Ball State,2000,Mid-American,0.0,0.45454545454545453,0.45454545454545453
Baylor,2000,Big 12,0.0,0.18181818181818182,0.18181818181818182
Boise State,2000,Big West,0.0,0.8333333333333334,0.8333333333333334
Boston College,2000,Big East,0.0,0.5833333333333334,0.5833333333333334
Bowling Green,2000,Mid-American,0.0,0.18181818181818182,0.18181818181818182
Buffalo,2000,Mid-American,0.0,0.18181818181818182,0.18181818181818182
BYU,2000,Mountain West,0.0,0.5,0.5
California,2000,Pac-10,0.0,0.2727272727272727,0.2727272727272727
Central Michigan,2000,Mid-American,0.0,0.18181818181818182,0.18181818181818182
Cincinnati,2000,Conference USA,0.0,0.5833333333333334,0.5833333333333334
Clemson,2000,ACC,0.0,0.75,0.75
Colorado,2000,Big 12,0.0,0.2727272727272727,0.2727272727272727
Colorado State,2000,Mountain West,0.0,0.8333333333333334,0.8333333333333334
Connecticut,2000,FBS Independents,0.0,0.2727272727272727,0.2727272727272727
Duke,2000,ACC,0.0,0.0,0.0
East Carolina,2000,Conference USA,0.0,0.6666666666666666,0.6666666666666666
Eastern Michigan,2000,Mid-American,0.0,0.2727272727272727,0.2727272727272727
Florida,2000,SEC,0.0,0.7692307692307693,0.7692307692307693
Florida State,2000,ACC,0.0,0.8461538461538461,0.8461538461538461
Fresno State,2000,Western Athletic,0.0,0.5833333333333334,0.5833333333333334
Georgia,2000,SEC,0.0,0.6666666666666666,0.6666666666666666
Georgia Tech,2000,ACC,0.0,0.75,0.75
Hawai'i,2000,Western Athletic,0.0,0.25,0.25
Houston,2000,Conference USA,0.0,0.2727272727272727,0.2727272727272727
Illinois,2000,Big Ten,0.0,0.45454545454545453,0.45454545454545453
Indiana,2000,Big Ten,0.0,0.2727272727272727,0.2727272727272727
Iowa,2000,Big Ten,0.0,0.25,0.25
Iowa State,2000,Big 12,0.0,0.75,0.75
Kansas,2000,Big 12,0.0,0.36363636363636365,0.36363636363636365
Kansas State,2000,Big 12,0.0,0.7857142857142857,0.7857142857142857
Kent State,2000,Mid-American,0.0,0.09090909090909091,0.09090909090909091
Kentucky,2000,SEC,0.0,0.18181818181818182,0.18181818181818182
Louisiana,2000,FBS Independents,0.0,0.09090909090909091,0.09090909090909091
Louisiana Monroe,2000,FBS Independents,0.0,0.09090909090909091,0.09090909090909091
Louisiana Tech,2000,FBS Independents,0.0,0.25,0.25
Louisville,2000,Conference USA,0.0,0.75,0.75
LSU,2000,SEC,0.0,0.6666666666666666,0.6666666666666666
Marshall,2000,Mid-American,0.0,0.6153846153846154,0.6153846153846154
Maryland,2000,ACC,0.0,0.45454545454545453,0.45454545454545453
Memphis,2000,Conference USA,0.0,0.36363636363636365,0.36363636363636365
Miami,2000,Big East,0.0,0.9166666666666666,0.9166666666666666
Miami (OH),2000,Mid-American,0.0,0.5454545454545454,0.5454545454545454
Michigan,2000,Big Ten,0.0,0.75,0.75
Michigan State,2000,Big Ten,0.0,0.45454545454545453,0.45454545454545453
Middle Tennessee,2000,FBS Independents,0.0,0.5454545454545454,0.5454545454545454
Minnesota,2000,Big Ten,0.0,0.5,0.5
Mississippi State,2000,SEC,0.0,0.6666666666666666,0.6666666666666666
Missouri,2000,Big 12,0.0,0.2727272727272727,0.2727272727272727
Navy,2000,FBS Independents,0.0,0.09090909090909091,0.09090909090909091
NC State,2000,ACC,0.0,0.6666666666666666,0.6666666666666666
Nebraska,2000,Big 12,0.0,0.8333333333333334,0.8333333333333334
Nevada,2000,Western Athletic,0.0,0.16666666666666666,0.16666666666666666
New Mexico,2000,Mountain West,0.0,0.4166666666666667,0.4166666666666667
New Mexico State,2000,Big West,0.0,0.2727272727272727,0.2727272727272727
North Carolina,2000,ACC,0.0,0.5454545454545454,0.5454545454545454
Northern Illinois,2000,Mid-American,0.0,0.5454545454545454,0.5454545454545454
North Texas,2000,Big West,0.0,0.2727272727272727,0.2727272727272727
Northwestern,2000,Big Ten,0.0,0.6666666666666666,0.6666666666666666
Notre Dame,2000,FBS Independents,0.0,0.75,0.75
Ohio,2000,Mid-American,0.0,0.6363636363636364,0.6363636363636364
Ohio State,2000,Big Ten,0.0,0.6666666666666666,0.6666666666666666
Oklahoma,2000,Big 12,0.0,1.0,1.0
Oklahoma State,2000,Big 12,0.0,0.2727272727272727,0.2727272727272727
Ole Miss,2000,SEC,0.0,0.5833333333333334,0.5833333333333334
Oregon,2000,Pac-10,0.0,0.8333333333333334,0.8333333333333334
Oregon State,2000,Pac-10,0.0,0.9166666666666666,0.9166666666666666
Penn State,2000,Big Ten,0.0,0.4166666666666667,0.4166666666666667
Pittsburgh,2000,Big East,0.0,0.5833333333333334,0.5833333333333334
Purdue,2000,Big Ten,0.0,0.6666666666666666,0.6666666666666666
Rice,2000,Western Athletic,0.0,0.2727272727272727,0.2727272727272727
Rutgers,2000,Big East,0.0,0.2727272727272727,0.2727272727272727
San Diego State,2000,Mountain West,0.0,0.2727272727272727,0.2727272727272727
San José State,2000,Western Athletic,0.0,0.5833333333333334,0.5833333333333334
SMU,2000,Western Athletic,0.0,0.25,0.25
South Carolina,2000,SEC,0.0,0.6666666666666666,0.6666666666666666
Southern Mississippi,2000,Conference USA,0.0,0.6666666666666666,0.6666666666666666
South Florida,2000,FBS Independents,0.0,0.6363636363636364,0.6363636363636364
Stanford,2000,Pac-10,0.0,0.45454545454545453,0.45454545454545453
Syracuse,2000,Big East,0.0,0.5454545454545454,0.5454545454545454
