year,team,conference,passing_usage,rushing_usage,usages
2014,Air Force,Mountain West,0.751,0.652,0.684
2014,Akron,Mid-American,1.0,0.989,0.952
2014,Alabama,SEC,0.078,0.911,0.589
2014,Arizona,Pac-12,0.0,0.048,0.142
2014,Arizona State,Pac-12,0.99,0.562,0.713
2014,Arkansas,SEC,0.996,0.887,0.856
2014,Arkansas State,Sun Belt,0.139,0.369,0.335
2014,Army,FBS Independents,1.0,0.951,0.946
2014,Auburn,SEC,1.0,0.491,0.68
2014,Ball State,Mid-American,0.018,0.897,0.342
2014,Baylor,Big 12,0.998,0.526,0.738
2014,Boise State,Mountain West,0.527,0.777,0.661
2014,Boston College,ACC,0.019,0.188,0.181
2014,Bowling Green,Mid-American,0.324,0.918,0.642
2014,Buffalo,Mid-American,0.973,0.224,0.512
2014,BYU,FBS Independents,0.973,0.992,0.861
2014,California,Pac-12,0.863,0.574,0.742
2014,Central Michigan,Mid-American,0.921,0.783,0.858
2014,Cincinnati,American Athletic,0.106,0.687,0.44
2014,Clemson,ACC,0.121,0.325,0.288
2014,Colorado,Pac-12,0.605,0.913,0.718
2014,Colorado State,Mountain West,1.0,0.142,0.572
2014,Connecticut,American Athletic,1.0,0.43,0.76
2014,Duke,ACC,0.693,0.688,0.728
2014,East Carolina,Conference USA,1.0,0.456,0.744
2014,Eastern Michigan,Mid-American,0.336,0.847,0.659
2014,Florida,SEC,0.377,0.841,0.639
2014,Florida Atlantic,Conference USA,0.994,0.621,0.711
2014,Florida International,Conference USA,0.453,0.534,0.584
2014,Florida State,ACC,1.0,0.438,0.621
2014,Fresno State,Mountain West,0.02,0.902,0.385
2014,Georgia,SEC,0.244,0.833,0.528
2014,Georgia State,Sun Belt,0.995,0.563,0.7
2014,Georgia Tech,ACC,0.105,0.402,0.367
2014,Hawai'i,Mountain West,0.27,0.844,0.5
2014,Houston,American Athletic,0.912,0.942,0.884
2014,Idaho,FBS Independents,0.51,0.598,0.575
2014,Illinois,Big Ten,0.049,0.739,0.387
2014,Indiana,Big Ten,0.685,0.539,0.546
2014,Iowa,Big Ten,1.0,0.996,0.952
2014,Iowa State,Big 12,0.997,0.619,0.788
2014,Kansas,Big 12,0.2,0.309,0.322
2014,Kansas State,Big 12,0.829,0.221,0.506
2014,Kent State,Mid-American,0.869,0.788,0.775
2014,Kentucky,SEC,0.548,0.375,0.525
2014,Louisiana,Sun Belt,0.983,0.985,0.919
2014,Louisiana Monroe,Sun Belt,0.268,0.422,0.42
2014,Louisiana Tech,Conference USA,0.634,0.929,0.683
2014,Louisville,American Athletic,0.027,0.549,0.373
2014,LSU,SEC,0.091,0.362,0.25
2014,Marshall,Conference USA,0.961,0.381,0.691
2014,Maryland,ACC,1.0,0.991,0.946
2014,Memphis,American Athletic,0.98,0.803,0.888
2014,Miami,ACC,0.101,0.8,0.456
2014,Miami (OH),Mid-American,0.363,0.76,0.627
2014,Michigan,Big Ten,0.997,0.573,0.696
2014,Michigan State,Big Ten,0.921,0.996,0.969
2014,Middle Tennessee,Conference USA,0.117,0.799,0.514
2014,Minnesota,Big Ten,0.294,0.826,0.652
2014,Mississippi State,SEC,0.745,0.661,0.737
2014,Missouri,SEC,0.301,0.482,0.373
2014,Navy,FBS Independents,1.0,0.908,0.882
2014,NC State,ACC,0.045,0.538,0.337
2014,Nebraska,Big Ten,0.36,0.881,0.666
2014,Nevada,Mountain West,0.995,0.801,0.777
2014,New Mexico,Mountain West,0.939,0.645,0.727
2014,New Mexico State,FBS Independents,0.008,0.421,0.351
2014,North Carolina,ACC,0.481,0.776,0.628
2014,Northern Illinois,Mid-American,0.029,0.499,0.432
2014,North Texas,Conference USA,0.03,0.421,0.287
2014,Northwestern,Big Ten,0.788,0.502,0.647
2014,Notre Dame,FBS Independents,0.0,0.712,0.627
2014,Ohio,Mid-American,0.116,0.225,0.211
2014,Ohio State,Big Ten,0.705,0.449,0.571
2014,Oklahoma,Big 12,0.963,0.297,0.522
2014,Oklahoma State,Big 12,0.394,0.589,0.472
2014,Ole Miss,SEC,0.899,0.732,0.749
2014,Oregon,Pac-12,0.985,0.8,0.807
2014,Oregon State,Pac-12,0.972,0.801,0.805
2014,Penn State,Big Ten,0.963,0.987,0.85
2014,Pittsburgh,ACC,0.028,0.909,0.548
2014,Purdue,Big Ten,0.64,0.807,0.748
2014,Rice,Conference USA,0.051,0.234,0.253
2014,Rutgers,American Athletic,0.7,0.944,0.792
2014,San Diego State,Mountain West,0.841,0.37,0.575
2014,San José State,Mountain West,0.017,0.765,0.424
2014,SMU,American Athletic,0.166,0.586,0.37
2014,South Alabama,Sun Belt,0.166,0.592,0.489
2014,South Carolina,SEC,0.249,0.718,0.57
2014,Southern Mississippi,Conference USA,0.609,0.482,0.581
2014,South Florida,American Athletic,0.672,0.172,0.486
2014,Stanford,Pac-12,1.0,0.25,0.568
2014,Syracuse,ACC,0.674,0.418,0.593
2014,TCU,Big 12,0.424,0.775,0.592
2014,Temple,American Athletic,0.904,0.958,0.86
2014,Tennessee,SEC,0.994,0.391,0.649
2014,Texas,Big 12,0.235,0.802,0.565
2014,Texas A&M,SEC,0.046,0.442,0.28
2014,Texas State,Sun Belt,0.541,0.821,0.681
2014,Texas Tech,Big 12,0.514,0.724,0.56
2014,Toledo,Mid-American,1.0,0.547,0.59
2014,Troy,Sun Belt,0.039,0.732,0.415
2014,Tulane,Conference USA,0.997,0.513,0.709
2014,Tulsa,Conference USA,0.49,0.121,0.321
2014,UAB,Conference USA,0.0,0.334,0.289
2014,UCF,American Athletic,0.031,0.341,0.334
2014,UCLA,Pac-12,0.997,0.82,0.882
2014,UMass,Mid-American,0.7,0.686,0.692
2014,UNLV,Mountain West,0.156,0.16,0.331
2014,USC,Pac-12,0.933,0.71,0.759
2014,Utah,Pac-12,1.0,0.477,0.68
2014,Utah State,Mountain West,0.996,0.349,0.562
2014,UTEP,Conference USA,0.904,0.906,0.819
2014,UT San Antonio,Conference USA,0.088,0.551,0.478
2014,Vanderbilt,SEC,0.25,0.671,0.429
2014,Virginia,ACC,1.0,0.98,0.926
2014,Virginia Tech,ACC,0.073,0.611,0.459
2014,Wake Forest,ACC,0.063,0.381,0.251
2014,Washington,Pac-12,0.15,0.325,0.306
2014,Washington State,Pac-12,0.944,0.795,0.909
2014,Western Kentucky,Sun Belt,0.987,0.249,0.657
2014,Western Michigan,Mid-American,0.575,0.499,0.577
2014,West Virginia,Big 12,0.865,0.461,0.683
2014,Wisconsin,Big Ten,0.959,0.563,0.617
2014,Wyoming,Mountain West,0.002,0.444,0.275
2015,Air Force,Mountain West,0.162,0.711,0.646
2015,Akron,Mid-American,0.997,0.995,0.758
2015,Alabama,SEC,0.134,0.364,0.251
2015,Appalachian State,Sun Belt,0.863,0.973,0.93
2015,Arizona,Pac-12,1.0,0.756,0.861
2015,Arizona State,Pac-12,0.302,0.747,0.536
2015,Arkansas,SEC,0.997,0.949,0.942
2015,Arkansas State,Sun Belt,0.983,0.976,0.96
2015,Army,FBS Independents,0.322,0.223,0.278
2015,Auburn,SEC,0.119,0.128,0.157
2015,Ball State,Mid-American,0.511,0.327,0.521
2015,Baylor,Big 12,0.171,0.823,0.549
2015,Boise State,Mountain West,0.095,0.135,0.259
2015,Boston College,ACC,0.035,0.716,0.483
2015,Bowling Green,Mid-American,0.942,0.634,0.839
2015,Buffalo,Mid-American,1.0,1.0,0.939
2015,BYU,FBS Independents,0.289,0.703,0.53
2015,California,Pac-12,0.995,0.98,0.936
2015,Central Michigan,Mid-American,0.998,0.343,0.575
2015,Cincinnati,American Athletic,0.808,0.922,0.892
2015,Clemson,ACC,0.331,0.757,0.632
2015,Colorado,Pac-12,0.998,0.765,0.839
2015,Colorado State,Mountain West,0.059,0.447,0.414
2015,Connecticut,American Athletic,0.188,0.763,0.443
2015,Duke,ACC,0.04,0.647,0.37
2015,East Carolina,American Athletic,0.018,0.5,0.246
2015,Eastern Michigan,Mid-American,0.672,0.419,0.49
2015,Florida,SEC,0.346,0.42,0.426
2015,Florida Atlantic,Conference USA,0.84,0.654,0.641
2015,Florida International,Conference USA,0.877,0.958,0.855
2015,Florida State,ACC,0.115,0.54,0.372
2015,Fresno State,Mountain West,0.081,0.467,0.302
2015,Georgia,SEC,0.136,0.918,0.558
2015,Georgia Southern,Sun Belt,1.0,0.809,0.79
2015,Georgia State,Sun Belt,0.965,0.616,0.802
2015,Georgia Tech,ACC,0.976,0.329,0.413
2015,Hawai'i,Mountain West,0.884,0.695,0.778
2015,Houston,American Athletic,0.584,0.912,0.642
2015,Idaho,Sun Belt,0.85,0.511,0.584
2015,Illinois,Big Ten,0.509,0.419,0.555
2015,Indiana,Big Ten,0.997,0.233,0.471
2015,Iowa,Big Ten,0.209,0.402,0.356
2015,Iowa State,Big 12,0.985,0.371,0.657
2015,Kansas,Big 12,0.993,0.456,0.543
2015,Kansas State,Big 12,0.04,0.44,0.233
2015,Kent State,Mid-American,0.998,0.793,0.752
2015,Kentucky,SEC,0.998,0.797,0.818
2015,Louisiana,Sun Belt,0.074,0.429,0.369
2015,Louisiana Monroe,Sun Belt,0.044,0.282,0.297
2015,Louisiana Tech,Conference USA,0.025,0.864,0.519
2015,Louisville,ACC,0.965,0.518,0.619
2015,LSU,SEC,0.993,0.645,0.77
2015,Marshall,Conference USA,0.049,0.612,0.347
2015,Maryland,Big Ten,0.107,0.601,0.34
2015,Memphis,American Athletic,0.984,0.642,0.769
2015,Miami,ACC,0.954,0.971,0.844
2015,Miami (OH),Mid-American,0.02,0.319,0.266
2015,Michigan,Big Ten,0.12,0.662,0.434
2015,Michigan State,Big Ten,0.995,0.308,0.576
2015,Middle Tennessee,Conference USA,0.997,0.759,0.8
2015,Minnesota,Big Ten,0.978,0.33,0.495
