year,team,sor,sos,team_fixed
2005,Texas,1,25,Texas
2005,USC,2,1,USC
2005,Penn State,3,21,Penn State
2005,Ohio State,4,12,Ohio State
2005,West Virginia,5,60,West Virginia
2005,Oregon,6,10,Oregon
2005,LSU,7,26,LSU
2005,UCLA,8,19,UCLA
2005,Virginia Tech,9,35,Virginia Tech
2005,Alabama,10,49,Alabama
2005,TCU,11,71,TCU
2005,Notre Dame,12,8,Notre Dame
2005,Wisconsin,13,40,Wisconsin
2005,Georgia,14,30,Georgia
2005,Florida,15,29,Florida
2005,Miami,16,45,Miami
2005,Boston College,17,31,Boston College
2005,Auburn,18,61,Auburn
2005,Oklahoma,19,16,Oklahoma
2005,Texas Tech,20,66,Texas Tech
2005,Northwestern,21,4,Northwestern
2005,Michigan,22,7,Michigan
2005,Florida State,23,23,Florida State
2005,California,24,56,California
2005,Minnesota,25,14,Minnesota
2005,Louisville,26,69,Louisville
2005,Clemson,27,33,Clemson
2005,Georgia Tech,28,13,Georgia Tech
2005,Arizona State,29,17,Arizona State
2005,Nebraska,30,46,Nebraska
2005,Iowa,31,36,Iowa
2005,South Carolina,32,28,South Carolina
2005,Colorado,33,20,Colorado
2005,Virginia,34,52,Virginia
2005,NC State,35,42,NC State
2005,Kansas,36,53,Kansas
2005,Stanford,37,2,Stanford
2005,Boise State,38,87,Boise State
2005,North Carolina,39,5,North Carolina
2005,Oregon State,40,6,Oregon State
2005,Nevada,41,109,Nevada
2005,Tulsa,42,82,Tulsa
2005,Iowa State,43,59,Iowa State
2005,Missouri,44,63,Missouri
2005,Purdue,45,18,Purdue
2005,Michigan State,46,37,Michigan State
2005,Toledo,47,115,Toledo
2005,Tennessee,48,24,Tennessee
2005,South Florida,49,50,South Florida
2005,Maryland,50,15,Maryland
2005,Texas A&M,51,38,Texas A&M
2005,Baylor,52,48,Baylor
2005,Rutgers,53,76,Rutgers
2005,Louisiana Tech,54,95,Louisiana Tech
2005,Navy,55,98,Navy
2005,Vanderbilt,56,43,Vanderbilt
2005,Fresno State,57,91,Fresno State
2005,Utah,58,75,Utah
2005,Kansas State,59,57,Kansas State
2005,New Mexico,60,74,New Mexico
2005,UCF,61,86,UCF
2005,BYU,62,65,BYU
2005,Colorado State,63,64,Colorado State
2005,Southern Mississippi,64,90,Southern Mississippi
2005,UTEP,65,113,UTEP
2005,Pittsburgh,66,62,Pittsburgh
2005,Indiana,67,32,Indiana
2005,Western Michigan,68,111,Western Michigan
2005,Arkansas,69,47,Arkansas
2005,Washington State,70,34,Washington State
2005,Memphis,71,93,Memphis
2005,Miami (OH),72,114,Miami (OH)
2005,Wake Forest,73,27,Wake Forest
2005,Northern Illinois,74,102,Northern Illinois
2005,Arizona,75,11,Arizona
2005,Oklahoma State,76,54,Oklahoma State
2005,Central Michigan,77,97,Central Michigan
2005,Cincinnati,78,55,Cincinnati
2005,Connecticut,79,78,Connecticut
2005,Houston,80,88,Houston
2005,Bowling Green,81,106,Bowling Green
2005,San Diego State,82,67,San Diego State
2005,Akron,83,99,Akron
2005,Hawai'i,84,72,Hawai'i
2005,East Carolina,85,84,East Carolina
2005,Washington,86,3,Washington
2005,SMU,87,85,SMU
2005,Kentucky,88,44,Kentucky
2005,Wyoming,89,68,Wyoming
2005,Ball State,90,70,Ball State
2005,Mississippi State,91,51,Mississippi State
2005,Illinois,92,9,Illinois
2005,Louisiana,93,118,Louisiana
2005,Ole Miss,94,58,Ole Miss
2005,Army,95,80,Army
2005,Air Force,96,77,Air Force
2005,UAB,97,107,UAB
2005,Ohio,98,83,Ohio
2005,Louisiana Monroe,99,110,Louisiana Monroe
2005,Marshall,100,92,Marshall
2005,Arkansas State,101,119,Arkansas State
2005,Florida International,102,117,Florida International
2005,Eastern Michigan,103,100,Eastern Michigan
2005,Middle Tennessee,104,112,Middle Tennessee
2005,Utah State,105,89,Utah State
2005,Troy,106,116,Troy
2005,Syracuse,107,41,Syracuse
2005,Duke,108,39,Duke
2005,San José State,109,101,San José State
2005,UNLV,110,81,UNLV
2005,Idaho,111,94,Idaho
2005,Rice,112,73,Rice
2005,Florida Atlantic,113,96,Florida Atlantic
2005,Tulane,114,104,Tulane
2005,North Texas,115,105,North Texas
2005,Buffalo,116,103,Buffalo
2005,Kent State,117,108,Kent State
2005,New Mexico State,118,79,New Mexico State
2005,Temple,118,22,Temple
2006,Florida,1,9,Florida
2006,Ohio State,2,20,Ohio State
2006,USC,3,1,USC
2006,Boise State,4,93,Boise State
2006,Michigan,5,13,Michigan
2006,Louisville,6,55,Louisville
2006,Wisconsin,7,73,Wisconsin
2006,Auburn,8,31,Auburn
2006,LSU,9,50,LSU
2006,Oklahoma,10,16,Oklahoma
2006,California,11,8,California
2006,Rutgers,12,59,Rutgers
2006,Notre Dame,13,18,Notre Dame
2006,West Virginia,14,62,West Virginia
2006,Texas,15,40,Texas
2006,BYU,16,70,BYU
2006,Oregon State,17,10,Oregon State
2006,Arkansas,18,19,Arkansas
2006,Wake Forest,19,46,Wake Forest
2006,Tennessee,20,7,Tennessee
2006,Boston College,21,42,Boston College
2006,Penn State,22,35,Penn State
2006,Virginia Tech,23,63,Virginia Tech
2006,TCU,24,88,TCU
2006,Texas A&M,25,48,Texas A&M
2006,Georgia,26,49,Georgia
2006,Nebraska,27,32,Nebraska
2006,Maryland,28,52,Maryland
2006,Kentucky,29,22,Kentucky
2006,South Florida,30,65,South Florida
