year,rank,team,rating
2005,1,USC,8.4
2005,2,Miami,6.8
2005,3,Oregon State,6.7
2005,4,Oklahoma,6.4
2005,5,Arizona State,6.4
2005,6,California,6.4
2005,7,Virginia Tech,6.1
2005,8,Texas,5.7
2005,9,Texas Tech,5.6
2005,10,Texas A&M,5.2
2005,11,North Carolina,4.9
2005,12,Iowa,4.5
2005,13,Stanford,4.2
2005,14,Louisville,4.2
2005,15,Oklahoma State,4.2
2005,16,Virginia,4.0
2005,17,Notre Dame,4.0
2005,18,LSU,3.9
2005,19,Ohio State,3.7
2005,20,Michigan,3.4
2005,21,Georgia,3.3
2005,22,Florida State,3.2
2005,23,Auburn,3.0
2005,24,Tennessee,3.0
2005,25,Georgia Tech,3.0
2005,26,UCLA,3.0
2005,27,Arkansas,3.0
2005,28,Purdue,2.7
2005,29,Florida,2.6
2005,30,BYU,2.4
2005,31,Northwestern,2.2
2005,32,Colorado,2.2
2005,33,Clemson,2.2
2005,34,Arizona,2.2
2005,35,NC State,2.1
2005,36,Kansas,2.0
2005,37,Oregon,1.9
2005,38,Boise State,1.8
2005,39,Maryland,1.6
2005,40,Washington,1.6
2005,41,Wisconsin,1.6
2005,42,Wash State,1.6
2005,43,Penn State,1.4
2005,44,Kansas State,0.9
2005,45,Iowa State,0.8
2005,46,South Carolina,0.6
2005,47,New Mexico,0.3
2005,48,Michigan State,0.1
2005,49,Minnesota,0.1
2005,50,Alabama,0.0
2005,51,Duke,0.0
2005,52,Ole Miss,-0.1
2005,53,Indiana,-0.2
2005,54,Syracuse,-0.2
2005,55,Fresno State,-0.3
2005,56,Wake Forest,-0.3
2005,57,Kentucky,-0.8
2005,58,Louisiana Tech,-1.0
2005,59,Utah,-1.5
2005,60,Colorado State,-1.6
2005,61,Nebraska,-1.6
2005,62,Cincinnati,-1.7
2005,63,San Diego State,-1.8
2005,64,Missouri,-1.9
2005,65,Illinois,-2.1
2005,66,UTEP,-2.2
2005,67,Wyoming,-2.2
2005,68,West Virginia,-2.4
2005,69,Houston,-2.5
2005,70,Baylor,-2.5
2005,71,UNLV,-2.6
2005,72,Bowling Green,-2.7
2005,73,Marshall,-2.8
2005,74,Southern Mississippi,-2.8
2005,75,Boston College,-3.0
2005,76,Pittsburgh,-3.0
2005,77,Vanderbilt,-3.1
2005,78,Air Force,-3.2
2005,79,Mississippi State,-3.6
2005,80,Temple,-3.6
2005,81,Memphis,-3.6
2005,82,TCU,-3.7
2005,83,Army,-4.2
2005,84,Toledo,-4.4
2005,85,Rutgers,-4.4
2005,86,East Carolina,-4.4
2005,87,UAB,-4.5
2005,88,SMU,-4.5
2005,89,South Florida,-5.2
2005,90,Rice,-5.3
2005,91,Troy,-5.5
2005,92,Miami,-5.5
2005,93,Connecticut,-5.6
2005,94,Tulsa,-5.7
2005,95,UCF,-6.0
2005,96,Akron,-6.4
2005,97,Utah State,-6.6
2005,98,Hawaii,-6.6
2005,99,Tulane,-6.7
2005,100,Ohio,-6.9
2005,101,San Jose State,-6.9
2005,102,Northern Illinois,-7.3
2005,103,New Mexico State,-7.6
2005,104,Arkansas State,-7.9
2005,105,Ball State,-8.5
2005,106,Navy,-8.6
2005,107,Kent State,-8.7
2005,108,Buffalo,-8.8
2005,109,Nevada,-8.9
2005,110,Idaho,-9.6
2005,111,Western Michigan,-10.0
2005,112,Central Michigan,-10.4
2005,113,North Texas,-10.6
2005,114,Middle Tennessee,-10.7
2005,115,Louisiana Monroe,-11.2
2005,116,Louisiana,-12.3
2005,117,Eastern Michigan,-12.5
2006,1,Texas,10.7
2006,2,USC,10.2
2006,3,Ohio State,9.4
