team,year,conference,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,sacks,tacklesForLoss,thirdDownConversions,thirdDowns,totalYards,turnovers
Air Force,2007,Mountain West,277.0,17.0,25.0,13.0,15.0,13.0,1.0,68.0,5.0,,,,1656.0,214.0,130.0,15.0,9.0,63.0,575.0,14595.0,0.0,176.0,24.0,721.0,36.0,3894.0,,,79.0,188.0,5452.0,18.0
Air Force,2008,Mountain West,240.0,13.0,24.0,11.0,21.0,13.0,1.0,90.0,6.0,,,,1097.0,138.0,74.0,12.0,9.0,73.0,602.0,14772.0,0.0,236.0,36.0,777.0,27.0,3470.0,,,87.0,203.0,4538.0,17.0
Air Force,2009,Mountain West,261.0,27.0,38.0,9.0,14.0,13.0,3.0,265.0,3.0,1.0,901.0,37.0,1230.0,153.0,77.0,20.0,8.0,63.0,568.0,15505.0,1.0,308.0,33.0,815.0,31.0,3685.0,,,100.0,226.0,4834.0,12.0
Air Force,2010,Mountain West,286.0,18.0,30.0,11.0,10.0,13.0,0.0,189.0,6.0,1.0,892.0,39.0,1576.0,168.0,88.0,12.0,12.0,58.0,526.0,14679.0,0.0,164.0,27.0,748.0,41.0,3985.0,,,94.0,186.0,5536.0,17.0
Air Force,2011,Mountain West,301.0,26.0,32.0,18.0,14.0,13.0,0.0,67.0,8.0,0.0,938.0,44.0,1885.0,204.0,123.0,12.0,16.0,61.0,562.0,14019.0,0.0,140.0,33.0,723.0,43.0,4092.0,,,85.0,181.0,5913.0,26.0
Air Force,2012,Mountain West,290.0,25.0,43.0,21.0,8.0,13.0,1.0,208.0,8.0,0.0,878.0,38.0,1334.0,151.0,83.0,8.0,9.0,44.0,341.0,22153.0,0.0,76.0,10.0,804.0,39.0,4111.0,,,92.0,189.0,5445.0,29.0
Air Force,2013,Mountain West,230.0,16.0,27.0,9.0,5.0,12.0,0.0,38.0,4.0,0.0,657.0,29.0,1259.0,174.0,93.0,4.0,8.0,53.0,428.0,20284.0,0.0,23.0,7.0,637.0,30.0,3152.0,,,76.0,172.0,4411.0,13.0
Air Force,2014,Mountain West,287.0,20.0,28.0,13.0,8.0,13.0,0.0,72.0,4.0,0.0,709.0,34.0,1893.0,206.0,117.0,10.0,15.0,46.0,460.0,24560.0,0.0,71.0,14.0,796.0,35.0,3550.0,,,100.0,213.0,5443.0,17.0
Air Force,2015,Mountain West,300.0,14.0,23.0,11.0,7.0,14.0,1.0,92.0,12.0,0.0,669.0,33.0,1847.0,170.0,87.0,11.0,15.0,53.0,532.0,27169.0,1.0,139.0,15.0,816.0,45.0,4468.0,,,84.0,196.0,6315.0,23.0
Air Force,2016,Mountain West,302.0,8.0,15.0,9.0,8.0,13.0,1.0,145.0,8.0,1.0,508.0,20.0,1752.0,150.0,68.0,15.0,14.0,67.0,681.0,26564.0,1.0,99.0,10.0,827.0,39.0,4126.0,30.0,71.0,99.0,196.0,5878.0,17.0
Air Force,2017,Mountain West,290.0,16.0,26.0,14.0,4.0,12.0,1.0,64.0,6.0,0.0,454.0,26.0,1321.0,142.0,69.0,5.0,10.0,48.0,459.0,24085.0,0.0,103.0,12.0,766.0,38.0,3683.0,7.0,38.0,81.0,167.0,5004.0,20.0
Air Force,2018,Mountain West,264.0,24.0,39.0,10.0,7.0,12.0,2.0,131.0,5.0,0.0,233.0,12.0,1576.0,168.0,93.0,7.0,10.0,54.0,521.0,24640.0,1.0,110.0,12.0,713.0,33.0,3404.0,12.0,51.0,70.0,169.0,4980.0,15.0
Air Force,2019,Mountain West,286.0,16.0,21.0,12.0,14.0,13.0,3.0,240.0,6.0,0.0,93.0,13.0,1602.0,126.0,68.0,7.0,14.0,42.0,368.0,26885.0,0.0,6.0,5.0,755.0,41.0,3881.0,32.0,73.0,84.0,157.0,5483.0,18.0
Air Force,2020,Mountain West,128.0,8.0,11.0,5.0,3.0,6.0,0.0,88.0,3.0,0.0,32.0,1.0,502.0,61.0,34.0,5.0,3.0,27.0,245.0,11700.0,0.0,5.0,1.0,312.0,16.0,1834.0,7.0,17.0,33.0,68.0,2336.0,8.0
Air Force,2021,Mountain West,284.0,32.0,41.0,6.0,9.0,13.0,0.0,53.0,4.0,0.0,68.0,14.0,1242.0,113.0,55.0,8.0,8.0,55.0,505.0,28564.0,0.0,36.0,5.0,836.0,44.0,4267.0,37.0,68.0,88.0,195.0,5509.0,10.0
