team,year,conference,elo,fpi,conference_rating
Air Force,2005,Mountain West,1419.0,-2.383,-0.8111111111111111
Akron,2005,Mid-American,1394.0,-8.552,-10.025
Alabama,2005,SEC,1798.0,14.764,7.625
Arizona,2005,Pac-10,1480.0,4.534,11.09
Arizona State,2005,Pac-10,1692.0,14.189,11.09
Arkansas,2005,SEC,1631.0,6.423,7.625
Arkansas State,2005,Sun Belt,1134.0,-12.849,-20.75
Army,2005,FBS Independents,1297.0,-9.849,-6.425
Auburn,2005,SEC,1921.0,17.403,7.625
Ball State,2005,Mid-American,1137.0,-15.149,-10.025
Baylor,2005,Big 12,1276.0,-3.127,12.05
Boise State,2005,Western Athletic,1817.0,7.729,-8.5125
Boston College,2005,ACC,1771.0,12.086,7.691666666666666
Bowling Green,2005,Mid-American,1585.0,-1.217,-10.025
Buffalo,2005,Mid-American,1005.0,-23.065,-10.025
BYU,2005,Mountain West,1571.0,4.355,-0.8111111111111111
California,2005,Pac-10,1822.0,13.678,11.09
Central Michigan,2005,Mid-American,1306.0,-7.441,-10.025
Cincinnati,2005,Big East,1280.0,-10.011,3.75
Clemson,2005,ACC,1746.0,10.8,7.691666666666666
Colorado,2005,Big 12,1552.0,6.824,12.05
Colorado State,2005,Mountain West,1363.0,-3.603,-0.8111111111111111
Connecticut,2005,Big East,1589.0,-0.135,3.75
Duke,2005,ACC,1068.0,-13.793,7.691666666666666
East Carolina,2005,Conference USA,1213.0,-7.467,-6.208333333333333
Eastern Michigan,2005,Mid-American,1223.0,-12.691,-10.025
Florida,2005,SEC,1805.0,15.55,7.625
Florida Atlantic,2005,Sun Belt,988.0,-19.686,-20.75
Florida International,2005,Sun Belt,1210.0,-15.12,-20.75
Florida State,2005,ACC,1691.0,11.676,7.691666666666666
Fresno State,2005,Western Athletic,1786.0,10.65,-8.5125
Georgia,2005,SEC,1944.0,17.721,7.625
Georgia Tech,2005,ACC,1610.0,6.564,7.691666666666666
Hawai'i,2005,Western Athletic,1393.0,-6.939,-8.5125
Houston,2005,Conference USA,1333.0,-2.784,-6.208333333333333
Illinois,2005,Big Ten,1122.0,-11.498,13.245454545454546
Indiana,2005,Big Ten,1294.0,-6.096,13.245454545454546
Iowa,2005,Big Ten,1816.0,14.454,13.245454545454546
Iowa State,2005,Big 12,1739.0,9.271,12.05
Kansas,2005,Big 12,1606.0,4.958,12.05
Kansas State,2005,Big 12,1539.0,-0.709,12.05
Kent State,2005,Mid-American,1145.0,-17.635,-10.025
Kentucky,2005,SEC,1271.0,-8.166,7.625
Louisiana,2005,Sun Belt,1294.0,-9.928,-20.75
Louisiana Monroe,2005,Sun Belt,1114.0,-15.477,-20.75
Louisiana Tech,2005,Western Athletic,1510.0,-3.443,-8.5125
Louisville,2005,Big East,2046.0,17.486,3.75
LSU,2005,SEC,2007.0,18.215,7.625
Marshall,2005,Conference USA,1323.0,-11.272,-6.208333333333333
Maryland,2005,ACC,1567.0,4.582,7.691666666666666
Memphis,2005,Conference USA,1488.0,-1.976,-6.208333333333333
Miami,2005,ACC,1848.0,16.729,7.691666666666666
Miami (OH),2005,Mid-American,1614.0,0.794,-10.025
