team,abbreviation,team_id,conference,stadium_capacity,latitude,longitude,logo
Air Force,AFA,2005,Mountain West,46692.0,38.9969701,-104.8436165,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
Akron,AKR,2006,Mid-American,30000.0,41.0725534,-81.5083408,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Alabama,ALA,333,SEC,101821.0,33.2082752,-87.5503836,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Appalachian State,APP,2026,Sun Belt,30000.0,36.2114267,-81.6854278,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Arizona,ARIZ,12,Pac-12,50782.0,32.2288054,-110.9488677,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona State,ASU,9,Pac-12,65870.0,33.4264471,-111.9325005,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arkansas,ARK,8,SEC,80000.0,36.0680662,-94.1789534,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Arkansas State,ARST,2032,Sun Belt,30382.0,35.8488977,-90.6677436,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Army,ARMY,349,FBS Independents,38000.0,41.3874924,-73.9640891,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png
Auburn,AUB,2,SEC,87451.0,32.6025532,-85.4897479,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Ball State,BALL,2050,Mid-American,22500.0,40.2159422,-85.4161148,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
Baylor,BAY,239,Big 12,45140.0,31.5582015,-97.1156702,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Boise State,BSU,68,Mountain West,36387.0,43.6028839,-116.1958882,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Boston College,BC,103,ACC,44500.0,42.335104,-71.1664413,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Bowling Green,BGSU,189,Mid-American,24000.0,41.3780114,-83.6225,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png
Buffalo,BUFF,2084,Mid-American,30270.0,42.9991334,-78.7775113,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
BYU,BYU,252,Big 12,63470.0,40.2575347,-111.6545247,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png
California,CAL,25,Pac-12,62467.0,37.8710434,-122.2507729,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Central Michigan,CMU,2117,Mid-American,30255.0,43.5777313,-84.7709904,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
Charlotte,CHAR,2429,American Athletic,15300.0,35.3105033,-80.7401194,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
Cincinnati,CIN,2132,Big 12,40000.0,39.1312495,-84.5161913,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
Clemson,CLEM,228,ACC,81500.0,34.6787737,-82.8432428,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Coastal Carolina,CCU,324,Sun Belt,21000.0,33.7928506,-79.0166946,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png
Colorado,COLO,38,Pac-12,50183.0,40.0094746,-105.266905,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Colorado State,CSU,36,Mountain West,36500.0,40.570015,-105.088435,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png
Connecticut,CONN,41,FBS Independents,40000.0,41.7595675,-72.6187728,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png
Duke,DUKE,150,ACC,40004.0,35.9953688,-78.9417564,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
East Carolina,ECU,151,American Athletic,50000.0,35.5968486,-77.364564,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png
Eastern Michigan,EMU,2199,Mid-American,30200.0,42.256126,-83.647285,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
Florida,FLA,57,SEC,88548.0,29.6499357,-82.3485788,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png
