team,team_id,year,conference,games_played,expected_wins,wins,losses,home_wins,home_losses,away_wins,away_losses
Air Force,2005,2000,Mountain West,12,0.0,9,3,5,1,3,2
Akron,2006,2000,Mid-American,11,0.0,6,5,3,3,3,2
Alabama,333,2000,SEC,11,0.0,3,8,3,3,0,5
Arizona,12,2000,Pac-10,11,0.0,5,6,2,4,3,2
Arizona State,9,2000,Pac-10,12,0.0,6,6,3,3,3,2
Arkansas,8,2000,SEC,12,0.0,6,6,5,2,1,3
Arkansas State,2032,2000,Big West,11,0.0,1,10,1,4,0,6
Army,349,2000,Conference USA,11,0.0,1,10,1,4,0,6
Auburn,2,2000,SEC,13,0.0,9,4,7,0,2,2
Ball State,2050,2000,Mid-American,11,0.0,5,6,2,3,3,3
Baylor,239,2000,Big 12,11,0.0,2,9,1,5,1,4
Boise State,68,2000,Big West,12,0.0,10,2,5,0,4,2
Boston College,103,2000,Big East,12,0.0,7,5,5,1,1,4
Bowling Green,189,2000,Mid-American,11,0.0,2,9,1,4,1,5
Buffalo,2084,2000,Mid-American,11,0.0,2,9,2,3,0,6
BYU,252,2000,Mountain West,12,0.0,6,6,4,2,2,4
California,25,2000,Pac-10,11,0.0,3,8,2,3,1,5
Central Michigan,2117,2000,Mid-American,11,0.0,2,9,2,3,0,6
Cincinnati,2132,2000,Conference USA,12,0.0,7,5,6,0,1,4
Clemson,228,2000,ACC,12,0.0,9,3,6,1,3,1
Colorado,38,2000,Big 12,11,0.0,3,8,1,4,2,4
Colorado State,36,2000,Mountain West,12,0.0,10,2,6,0,3,2
Connecticut,41,2000,FBS Independents,11,0.0,3,8,1,4,2,4
Duke,150,2000,ACC,11,0.0,0,11,0,5,0,6
East Carolina,151,2000,Conference USA,12,0.0,8,4,4,2,3,2
Eastern Michigan,2199,2000,Mid-American,11,0.0,3,8,3,3,0,5
Florida,57,2000,SEC,13,0.0,10,3,7,0,2,2
Florida State,52,2000,ACC,13,0.0,11,2,7,0,4,1
Fresno State,278,2000,Western Athletic,12,0.0,7,5,5,0,2,4
Georgia,61,2000,SEC,12,0.0,8,4,5,1,2,3
Georgia Tech,59,2000,ACC,12,0.0,9,3,5,1,4,1
Hawai'i,62,2000,Western Athletic,12,0.0,3,9,3,5,0,4
Houston,248,2000,Conference USA,11,0.0,3,8,2,2,1,6
Illinois,356,2000,Big Ten,11,0.0,5,6,4,2,1,4
Indiana,84,2000,Big Ten,11,0.0,3,8,3,3,0,5
Iowa,2294,2000,Big Ten,12,0.0,3,9,2,4,1,5
Iowa State,66,2000,Big 12,12,0.0,9,3,4,2,4,1
Kansas,2305,2000,Big 12,11,0.0,4,7,3,3,1,4
Kansas State,2306,2000,Big 12,14,0.0,11,3,7,1,3,1
Kent State,2309,2000,Mid-American,11,0.0,1,10,0,5,1,5
Kentucky,96,2000,SEC,11,0.0,2,9,2,4,0,5
Louisiana,309,2000,FBS Independents,11,0.0,1,10,0,5,1,5
Louisiana Monroe,2433,2000,FBS Independents,11,0.0,1,10,1,4,0,6
Louisiana Tech,2348,2000,FBS Independents,12,0.0,3,9,2,2,1,7
Louisville,97,2000,Conference USA,12,0.0,9,3,6,1,3,1
LSU,99,2000,SEC,12,0.0,8,4,6,1,1,3
Marshall,276,2000,Mid-American,13,0.0,8,5,4,1,2,4
Maryland,120,2000,ACC,11,0.0,5,6,4,2,1,4
Memphis,235,2000,Conference USA,11,0.0,4,7,2,4,2,3
Miami,2390,2000,Big East,12,0.0,11,1,6,0,4,1
Miami (OH),193,2000,Mid-American,11,0.0,6,5,3,1,3,4
Michigan,130,2000,Big Ten,12,0.0,9,3,6,0,2,3
Michigan State,127,2000,Big Ten,11,0.0,5,6,4,2,1,4
Middle Tennessee,2393,2000,FBS Independents,11,0.0,6,5,5,0,1,5
Minnesota,135,2000,Big Ten,12,0.0,6,6,4,2,2,3
Mississippi State,344,2000,SEC,12,0.0,8,4,4,1,3,3
Missouri,142,2000,Big 12,11,0.0,3,8,2,4,1,4
Navy,2426,2000,FBS Independents,11,0.0,1,10,1,5,0,5
NC State,152,2000,ACC,12,0.0,8,4,5,1,2,3
Nebraska,158,2000,Big 12,12,0.0,10,2,6,0,3,2
Nevada,2440,2000,Western Athletic,12,0.0,2,10,1,4,1,6
New Mexico,167,2000,Mountain West,12,0.0,5,7,3,3,2,4
New Mexico State,166,2000,Big West,11,0.0,3,8,2,3,1,5
North Carolina,153,2000,ACC,11,0.0,6,5,3,3,3,2
Northern Illinois,2459,2000,Mid-American,11,0.0,6,5,4,1,2,4
North Texas,249,2000,Big West,11,0.0,3,8,2,3,1,5
Northwestern,77,2000,Big Ten,12,0.0,8,4,5,1,3,2
Notre Dame,87,2000,FBS Independents,12,0.0,9,3,6,1,3,1
Ohio,195,2000,Mid-American,11,0.0,7,4,4,1,3,3
Ohio State,194,2000,Big Ten,12,0.0,8,4,4,2,4,1
Oklahoma,201,2000,Big 12,13,0.0,13,0,7,0,4,0
Oklahoma State,197,2000,Big 12,11,0.0,3,8,2,4,1,4
Ole Miss,145,2000,SEC,12,0.0,7,5,5,2,2,2
Oregon,2483,2000,Pac-10,12,0.0,10,2,6,0,3,2
Oregon State,204,2000,Pac-10,12,0.0,11,1,6,0,4,1
Penn State,213,2000,Big Ten,12,0.0,5,7,4,2,1,5
Pittsburgh,221,2000,Big East,12,0.0,7,5,5,1,2,3
Purdue,2509,2000,Big Ten,12,0.0,8,4,6,0,2,3
Rice,242,2000,Western Athletic,11,0.0,3,8,3,2,0,6
Rutgers,164,2000,Big East,11,0.0,3,8,2,4,1,4
San Diego State,21,2000,Mountain West,11,0.0,3,8,0,5,3,3
San José State,23,2000,Western Athletic,12,0.0,7,5,3,2,4,3
SMU,2567,2000,Western Athletic,12,0.0,3,9,3,3,0,6
South Carolina,2579,2000,SEC,12,0.0,8,4,5,1,2,3
Southern Mississippi,2572,2000,Conference USA,12,0.0,8,4,2,2,5,2
South Florida,58,2000,FBS Independents,11,0.0,7,4,6,0,1,4
Stanford,24,2000,Pac-10,11,0.0,5,6,3,3,2,3
Syracuse,183,2000,Big East,11,0.0,6,5,4,2,2,3
TCU,2628,2000,Western Athletic,12,0.0,10,2,6,0,4,1
Temple,218,2000,Big East,11,0.0,4,7,2,4,2,3
Tennessee,2633,2000,SEC,12,0.0,8,4,5,1,3,2
Texas,251,2000,Big 12,12,0.0,9,3,6,0,3,2
Texas A&M,245,2000,Big 12,12,0.0,7,5,4,2,3,2
Texas Tech,2641,2000,Big 12,13,0.0,7,6,6,2,1,3
Toledo,2649,2000,Mid-American,11,0.0,10,1,6,0,4,1
Tulane,2655,2000,Conference USA,11,0.0,6,5,4,1,2,4
Tulsa,202,2000,Western Athletic,12,0.0,5,7,3,3,2,4
UAB,5,2000,Conference USA,11,0.0,7,4,4,2,3,2
UCF,2116,2000,FBS Independents,11,0.0,7,4,4,1,3,3
UCLA,26,2000,Pac-10,12,0.0,6,6,5,2,1,3
UNLV,2439,2000,Mountain West,13,0.0,8,5,5,0,2,5
USC,30,2000,Pac-10,12,0.0,5,7,3,5,2,2
Utah,254,2000,Mountain West,11,0.0,4,7,1,5,3,2
Utah State,328,2000,Big West,11,0.0,5,6,3,2,2,4
UTEP,2638,2000,Western Athletic,12,0.0,8,4,5,0,3,3
Vanderbilt,238,2000,SEC,11,0.0,3,8,1,5,2,3
Virginia,258,2000,ACC,12,0.0,6,6,4,2,2,3
Virginia Tech,259,2000,Big East,12,0.0,11,1,6,0,4,1
Wake Forest,154,2000,ACC,11,0.0,2,9,1,5,1,4
Washington,264,2000,Pac-10,12,0.0,11,1,6,0,4,1
Washington State,265,2000,Pac-10,11,0.0,4,7,1,5,3,2
Western Michigan,2711,2000,Mid-American,12,0.0,9,3,5,0,4,2
West Virginia,277,2000,Big East,12,0.0,7,5,4,3,2,2
Wisconsin,275,2000,Big Ten,13,0.0,9,4,4,3,4,1
Wyoming,2751,2000,Mountain West,11,0.0,1,10,1,4,0,6
Air Force,2005,2001,Mountain West,12,0.0,6,6,4,2,2,4
Akron,2006,2001,Mid-American,11,0.0,4,7,3,1,1,6
Alabama,333,2001,SEC,12,0.0,7,5,4,3,3,2
Arizona,12,2001,Pac-10,11,0.0,5,6,2,4,3,2
Arizona State,9,2001,Pac-10,11,0.0,4,7,4,3,0,4
Arkansas,8,2001,SEC,12,0.0,7,5,6,1,1,4
Arkansas State,2032,2001,Sun Belt,11,0.0,2,9,2,4,0,5
Army,349,2001,Conference USA,11,0.0,3,8,2,3,1,5
Auburn,2,2001,SEC,12,0.0,7,5,5,2,2,3
Ball State,2050,2001,Mid-American,11,0.0,5,6,2,3,3,3
Baylor,239,2001,Big 12,11,0.0,3,8,3,4,0,4
Boise State,68,2001,Western Athletic,12,0.0,8,4,5,1,3,3
Boston College,103,2001,Big East,12,0.0,8,4,5,1,3,3
Bowling Green,189,2001,Mid-American,11,0.0,8,3,4,1,4,2
Buffalo,2084,2001,Mid-American,11,0.0,3,8,1,4,2,4
BYU,252,2001,Mountain West,14,0.0,12,2,6,1,6,1
California,25,2001,Pac-10,11,0.0,1,10,0,6,1,4
Central Michigan,2117,2001,Mid-American,11,0.0,3,8,2,3,1,5
Cincinnati,2132,2001,Conference USA,12,0.0,7,5,3,3,4,2
Clemson,228,2001,ACC,12,0.0,7,5,3,3,4,2
Colorado,38,2001,Big 12,13,0.0,10,3,5,1,5,2
Colorado State,36,2001,Mountain West,12,0.0,7,5,4,3,3,2
Connecticut,41,2001,FBS Independents,11,0.0,2,9,1,4,1,5
Duke,150,2001,ACC,11,0.0,0,11,0,6,0,5
East Carolina,151,2001,Conference USA,12,0.0,6,6,2,3,4,3
Eastern Michigan,2199,2001,Mid-American,11,0.0,2,9,2,3,0,6
Florida,57,2001,SEC,12,0.0,10,2,7,1,3,1
Florida State,52,2001,ACC,12,0.0,8,4,4,2,4,2
Fresno State,278,2001,Western Athletic,14,0.0,11,3,5,2,6,1
Georgia,61,2001,SEC,12,0.0,8,4,4,3,4,1
Georgia Tech,59,2001,ACC,13,0.0,8,5,3,3,5,2
Hawai'i,62,2001,Western Athletic,12,0.0,9,3,7,2,2,1
Houston,248,2001,Conference USA,11,0.0,0,11,0,6,0,5
