team,year,rank,points
Tennessee,2000,1,252.66
Florida,2000,2,239.17
Florida State,2000,3,225.16
Alabama,2000,4,199.31
Penn State,2000,5,196.61
Texas,2000,6,185.94
Miami,2000,7,161.25
Michigan State,2000,8,136.95
Ohio State,2000,9,112.1
Notre Dame,2000,10,106.88
Stanford,2000,11,85.01
USC,2000,12,83.99
Colorado,2000,13,83.19
UCLA,2000,14,81.61
Auburn,2000,15,80.07
Arkansas,2000,16,79.86
Nebraska,2000,17,55.63
Syracuse,2000,18,55.14
Georgia Tech,2000,19,54.41
Arizona State,2000,20,54.19
LSU,2000,21,54.01
Kentucky,2000,22,29.46
Georgia,2000,23,28.9
Oklahoma,2000,24,28.69
TCU,2000,25,28.69
Virginia,2000,26,28.47
Michigan,2000,27,27.91
Kansas State,2000,28,27.63
Washington,2000,29,27.47
Iowa,2000,30,27.45
Texas A&M,2000,31,27.41
Boston College,2000,32,27.33
Clemson,2000,33,27.15
Wisconsin,2000,34,27.03
Maryland,2000,35,26.47
Vanderbilt,2000,36,26.39
Virginia Tech,2000,37,26.29
Indiana,2000,38,26.27
Arizona,2000,39,26.22
Oklahoma State,2000,40,26.18
Ole Miss,2000,41,26.1
Pittsburgh,2000,42,26.02
Wyoming,2000,43,0.0
Temple,2000,44,0.0
Minnesota,2000,44,0.0
Oregon State,2000,44,0.0
Duke,2000,44,0.0
Tulane,2000,44,0.0
South Carolina,2000,44,0.0
Oregon,2000,44,0.0
California,2000,44,0.0
Texas Tech,2000,44,0.0
NC State,2000,44,0.0
Colorado State,2000,44,0.0
UNLV,2000,44,0.0
Kansas,2000,44,0.0
San Diego State,2000,44,0.0
Utah,2000,44,0.0
Northwestern,2000,44,0.0
East Carolina,2000,44,0.0
Tulsa,2000,44,0.0
Houston,2000,44,0.0
North Carolina,2000,44,0.0
Southern Mississippi,2000,44,0.0
Iowa State,2000,44,0.0
Rutgers,2000,44,0.0
West Virginia,2000,44,0.0
Cincinnati,2000,44,0.0
UCF,2000,44,0.0
Hawai'i,2000,44,0.0
Wake Forest,2000,44,0.0
SMU,2000,44,0.0
New Mexico,2000,44,0.0
Louisiana Tech,2000,44,0.0
UAB,2000,44,0.0
Rice,2000,44,0.0
Idaho State,2000,44,0.0
Mississippi State,2000,44,0.0
BYU,2000,44,0.0
Miami (OH),2000,44,0.0
Illinois,2000,44,0.0
Purdue,2000,44,0.0
Washington State,2000,44,0.0
San José State,2000,44,0.0
Baylor,2000,44,0.0
UTEP,2000,44,0.0
Louisville,2000,44,0.0
Memphis,2000,44,0.0
Nevada,2000,44,0.0
Missouri,2000,44,0.0
Nevada,2000,44,0.0
Florida State,2001,1,256.86
LSU,2001,2,206.53
Michigan,2001,3,204.24
Tennessee,2001,4,184.16
Oklahoma,2001,5,155.82
Ohio State,2001,6,155.45
Auburn,2001,7,126.96
Miami,2001,8,110.37
Arkansas,2001,9,110.15
Georgia,2001,10,109.9
Texas,2001,11,109.14
Notre Dame,2001,12,108.06
UCLA,2001,13,106.91
Stanford,2001,14,84.71
Washington,2001,15,84.23
Virginia Tech,2001,16,82.72
Penn State,2001,17,80.65
Kansas State,2001,18,80.08
Clemson,2001,19,58.0
USC,2001,20,57.46
Iowa,2001,21,56.95
Wisconsin,2001,22,56.14
Ole Miss,2001,23,55.6
Oregon State,2001,24,55.53
South Carolina,2001,25,54.01
Northwestern,2001,26,52.85
Arizona,2001,27,52.65
Alabama,2001,28,29.86
Syracuse,2001,29,29.2
Virginia,2001,30,28.71
Texas A&M,2001,31,28.63
California,2001,32,28.61
Missouri,2001,33,27.69
Oregon,2001,34,27.69
Memphis,2001,35,27.59
Colorado,2001,36,27.51
North Carolina,2001,37,27.39
Pittsburgh,2001,38,27.03
Nebraska,2001,39,26.91
Illinois,2001,40,26.83
Purdue,2001,41,26.81
Arizona State,2001,42,26.63
NC State,2001,43,26.51
Michigan State,2001,44,26.51
Mississippi State,2001,45,26.35
Colorado State,2001,46,26.31
Florida,2001,47,26.18
Boston College,2001,48,26.14
Vanderbilt,2001,49,26.02
Middle Tennessee,2001,50,23.82
Wyoming,2001,51,0.0
Akron,2001,51,0.0
Connecticut,2001,51,0.0
Kansas,2001,51,0.0
Tulane,2001,51,0.0
Southeast Missouri State,2001,51,0.0
Texas Tech,2001,51,0.0
San Diego State,2001,51,0.0
Kentucky,2001,51,0.0
Western Michigan,2001,51,0.0
Iowa State,2001,51,0.0
Hawai'i,2001,51,0.0
Cincinnati,2001,51,0.0
West Virginia,2001,51,0.0
Southern Mississippi,2001,51,0.0
Washington State,2001,51,0.0
Villanova,2001,51,0.0
Georgia Tech,2001,51,0.0
UNLV,2001,51,0.0
Fresno State,2001,51,0.0
Troy,2001,51,0.0
Houston,2001,51,0.0
SMU,2001,51,0.0
Toledo,2001,51,0.0
Minnesota,2001,51,0.0
UTEP,2001,51,0.0
UAB,2001,51,0.0
UC Davis,2001,51,0.0
TCU,2001,51,0.0
Louisville,2001,51,0.0
Northern Colorado,2001,51,0.0
Indiana,2001,51,0.0
Rutgers,2001,51,0.0
Temple,2001,51,0.0
Tulsa,2001,51,0.0
Harvard,2001,51,0.0
Nevada,2001,51,0.0
East Carolina,2001,51,0.0
Utah,2001,51,0.0
San José State,2001,51,0.0
Louisiana Tech,2001,51,0.0
Maryland,2001,51,0.0
New Mexico,2001,51,0.0
Rice,2001,51,0.0
Oklahoma State,2001,51,0.0
Texas,2002,1,305.24
Florida State,2002,2,303.14
Tennessee,2002,3,299.26
Ohio State,2002,4,277.57
Miami,2002,5,274.87
Oklahoma,2002,6,273.53
UCLA,2002,7,258.06
USC,2002,8,250.9
Georgia,2002,9,244.84
Florida,2002,10,236.73
Virginia,2002,11,235.48
Notre Dame,2002,12,235.46
South Carolina,2002,13,234.8
Michigan,2002,14,230.11
Mississippi State,2002,15,226.35
Auburn,2002,16,226.3
Washington,2002,17,218.86
Texas A&M,2002,18,218.74
Colorado,2002,19,218.56
Kansas State,2002,20,216.77
LSU,2002,21,210.17
Penn State,2002,22,207.39
Ole Miss,2002,23,193.5
Arizona State,2002,24,193.35
Arkansas,2002,25,191.28
Missouri,2002,26,190.06
Michigan State,2002,27,182.39
Pittsburgh,2002,28,181.22
Clemson,2002,29,179.37
Maryland,2002,30,176.61
Oklahoma State,2002,31,176.17
Stanford,2002,32,175.79
Arizona,2002,33,175.32
Texas Tech,2002,34,173.15
Nebraska,2002,35,172.33
Baylor,2002,36,168.66
BYU,2002,37,167.84
Iowa State,2002,38,166.21
Boston College,2002,39,160.57
Houston,2002,40,159.33
UCF,2002,41,156.61
Illinois,2002,42,155.41
Virginia Tech,2002,43,154.53
Oregon,2002,44,154.47
Oregon State,2002,45,153.38
NC State,2002,46,149.75
Alabama,2002,47,147.97
Washington State,2002,48,147.73
North Carolina,2002,49,143.32
West Virginia,2002,50,141.52
Southern Mississippi,2002,51,141.15
Purdue,2002,52,137.02
Georgia Tech,2002,53,136.09
Louisville,2002,54,135.36
Kansas,2002,55,134.82
Wisconsin,2002,56,129.47
Memphis,2002,57,128.75
San José State,2002,58,126.74
Middle Tennessee,2002,59,124.79
San Diego State,2002,60,117.81
Rutgers,2002,61,117.69
TCU,2002,62,113.44
Northwestern,2002,63,111.17
Hawai'i,2002,64,109.63
Tulane,2002,65,108.31
Tulsa,2002,66,107.69
Duke,2002,67,106.65
Colorado State,2002,68,104.1
Vanderbilt,2002,69,95.67
Nevada,2002,70,93.48
New Mexico,2002,71,93.32
Indiana,2002,72,91.93
UAB,2002,73,91.7
Minnesota,2002,74,90.65
Arkansas State,2002,75,90.16
Cincinnati,2002,76,87.58
SMU,2002,77,84.52
Western Michigan,2002,78,84.27
UNLV,2002,79,83.93
Wyoming,2002,80,83.82
Bowling Green,2002,81,81.31
East Carolina,2002,82,80.47
Temple,2002,83,78.82
Idaho,2002,84,77.27
Eastern Michigan,2002,85,77.27
Louisiana Monroe,2002,86,76.83
Akron,2002,87,76.83
Boise State,2002,88,76.83
Buffalo,2002,89,76.26
Utah State,2002,90,75.17
Central Michigan,2002,91,73.52
Northern Illinois,2002,92,72.15
Connecticut,2002,93,66.92
Louisiana,2002,94,60.25
Miami (OH),2002,95,60.25
Marshall,2002,96,60.25
Utah,2002,97,59.74
South Florida,2002,98,59.28
Louisiana Tech,2002,99,45.48
Army,2002,100,41.19
Toledo,2002,101,29.44
North Texas,2002,102,26.46
New Mexico State,2002,103,19.8
Wake Forest,2002,104,19.8
Ohio,2002,105,13.29
Kent State,2002,106,6.67
Troy,2002,107,6.67
Navy,2002,108,6.67
Florida International,2002,109,6.67
Air Force,2002,110,6.67
Monmouth,2002,111,0.0
Fresno State,2002,111,0.0
Howard,2002,111,0.0
Cornell,2002,111,0.0
Kentucky,2002,111,0.0
UTEP,2002,111,0.0
Maine,2002,111,0.0
Eastern Washington,2002,111,0.0
Weber State,2002,111,0.0
Florida,2003,1,298.36
USC,2003,2,288.61
LSU,2003,3,282.27
Miami,2003,4,257.73
Michigan,2003,5,255.1
Oklahoma,2003,6,247.77
Notre Dame,2003,7,239.52
Texas,2003,8,237.4
Georgia,2003,9,236.21
Tennessee,2003,10,231.39
Virginia,2003,11,220.34
South Carolina,2003,12,211.16
Mississippi State,2003,13,208.22
Texas A&M,2003,14,207.47
Florida State,2003,15,203.95
Auburn,2003,16,200.29
NC State,2003,17,194.13
North Carolina,2003,18,192.52
Colorado,2003,19,185.54
Washington,2003,20,184.69
Oklahoma State,2003,21,183.97
Arizona State,2003,22,183.77
Illinois,2003,23,180.52
California,2003,24,180.46
Maryland,2003,25,179.95
Stanford,2003,26,179.93
Virginia Tech,2003,27,174.88
Purdue,2003,28,174.87
UCLA,2003,29,174.6
Oregon,2003,30,172.47
Wisconsin,2003,31,170.37
Boston College,2003,32,170.35
Kansas State,2003,33,167.35
Ole Miss,2003,34,166.37
Nebraska,2003,35,166.25
Rutgers,2003,36,164.34
Missouri,2003,37,163.47
Georgia Tech,2003,38,159.66
Arizona,2003,39,159.32
Iowa,2003,40,158.53
Alabama,2003,41,156.58
Arkansas,2003,42,155.43
Clemson,2003,43,153.65
Kansas,2003,44,151.57
Minnesota,2003,45,149.65
Ohio State,2003,46,148.26
Pittsburgh,2003,47,147.62
Penn State,2003,48,144.63
Louisville,2003,49,137.31
SMU,2003,50,134.26
Washington State,2003,51,133.59
San Diego State,2003,52,131.79
Louisiana Tech,2003,53,130.03
West Virginia,2003,54,129.6
Syracuse,2003,55,128.96
Iowa State,2003,56,127.9
Baylor,2003,57,126.41
Tulane,2003,58,126.36
Houston,2003,59,125.88
Wake Forest,2003,60,125.47
BYU,2003,61,123.78
Oregon State,2003,62,123.52
Temple,2003,63,120.41
Memphis,2003,64,117.27
Vanderbilt,2003,65,116.07
UNLV,2003,66,113.89
Northwestern,2003,67,111.31
Michigan State,2003,68,110.52
TCU,2003,69,110.37
UCF,2003,70,109.0
Texas Tech,2003,71,108.77
Fresno State,2003,72,108.0
Tulsa,2003,73,103.19
Colorado State,2003,74,103.13
Utah,2003,75,102.89
Indiana,2003,76,101.12
Nevada,2003,77,97.84
South Florida,2003,78,97.77
Middle Tennessee,2003,79,97.77
Southern Mississippi,2003,80,95.96
North Texas,2003,81,94.48
Hawai'i,2003,82,93.21
Arkansas State,2003,83,92.91
San José State,2003,84,92.09
Central Michigan,2003,85,92.09
Duke,2003,86,91.65
Rice,2003,87,91.03
Troy,2003,88,90.91
Utah State,2003,89,90.83
Louisiana,2003,90,90.56
Bowling Green,2003,91,90.32
Idaho,2003,92,89.31
New Mexico,2003,93,88.78
Connecticut,2003,94,87.69
UAB,2003,95,84.94
Cincinnati,2003,96,82.93
Toledo,2003,97,82.91
East Carolina,2003,98,82.19
Marshall,2003,99,82.05
Northern Illinois,2003,100,79.6
Army,2003,101,79.6
Akron,2003,102,78.88
Kent State,2003,103,78.45
Western Michigan,2003,104,77.98
Louisiana Monroe,2003,105,77.6
New Mexico State,2003,106,76.7
Eastern Michigan,2003,107,74.64
Wyoming,2003,108,73.52
Buffalo,2003,109,73.52
Boise State,2003,110,71.83
Ball State,2003,111,68.5
Miami (OH),2003,112,68.5
Ohio,2003,113,66.15
UTEP,2003,114,63.41
Navy,2003,115,60.25
Kentucky,2003,116,22.68
Air Force,2003,117,13.29
Southern Illinois,2003,118,6.67
Florida State,2004,1,292.97
USC,2004,2,291.67
Miami,2004,3,291.61
LSU,2004,4,287.64
Florida,2004,5,273.5
Michigan,2004,6,269.95
Georgia,2004,7,267.62
Oklahoma,2004,8,261.38
Texas,2004,9,256.03
Texas A&M,2004,10,241.23
Tennessee,2004,11,235.04
Oregon,2004,12,234.92
Penn State,2004,13,221.53
Kansas State,2004,14,208.77
Michigan State,2004,15,206.6
Maryland,2004,16,204.06
Purdue,2004,17,202.84
Arkansas,2004,18,199.85
Missouri,2004,19,197.15
California,2004,20,196.23
Alabama,2004,21,191.78
Washington State,2004,22,191.68
Arizona State,2004,23,191.49
Oklahoma State,2004,24,191.12
Washington,2004,25,190.58
Oregon State,2004,26,188.9
Nebraska,2004,27,188.0
North Carolina,2004,28,185.1
South Carolina,2004,29,182.49
Auburn,2004,30,182.43
UCLA,2004,31,177.82
Boston College,2004,32,177.34
Ole Miss,2004,33,177.18
Virginia Tech,2004,34,175.27
Notre Dame,2004,35,168.32
Wisconsin,2004,36,162.48
Virginia,2004,37,160.63
West Virginia,2004,38,157.73
Texas Tech,2004,39,157.29
NC State,2004,40,155.87
Arizona,2004,41,154.87
Pittsburgh,2004,42,154.42
South Florida,2004,43,154.25
Clemson,2004,44,145.22
San Diego State,2004,45,145.04
Iowa State,2004,46,143.53
Colorado,2004,47,143.15
Georgia Tech,2004,48,141.96
Rutgers,2004,49,138.98
TCU,2004,50,131.89
BYU,2004,51,130.71
Kansas,2004,52,130.26
Minnesota,2004,53,128.67
Indiana,2004,54,125.43
Ohio State,2004,55,124.55
Mississippi State,2004,56,123.23
Illinois,2004,57,122.38
Colorado State,2004,58,122.11
Syracuse,2004,59,118.35
Stanford,2004,60,115.28
Utah,2004,61,113.22
Tulane,2004,62,111.61
Louisville,2004,63,109.8
Memphis,2004,64,109.55
Southern Mississippi,2004,65,109.5
Utah State,2004,66,108.15
Duke,2004,67,107.79
Tulsa,2004,68,105.54
East Carolina,2004,69,102.81
Vanderbilt,2004,70,101.95
Middle Tennessee,2004,71,99.28
SMU,2004,72,98.61
Wyoming,2004,73,94.9
Boise State,2004,74,94.26
Toledo,2004,75,94.07
Houston,2004,76,93.19
Troy,2004,77,91.49
Marshall,2004,78,91.43
Hawai'i,2004,79,91.28
Temple,2004,80,90.32
UAB,2004,81,88.92
Arkansas State,2004,82,88.33
Connecticut,2004,83,87.28
UNLV,2004,84,86.81
North Texas,2004,85,85.46
Western Michigan,2004,86,85.24
Northern Illinois,2004,87,84.31
New Mexico,2004,88,83.14
Bowling Green,2004,89,82.68
