team,year,conference,expected_wins,win_pct,recent_win_pct,prev_win_pct,elo,fpi,conference_rating,recruiting_rank,recruiting_rating,talent_level,blue_chip,blue_chip_ratio,passing_usage,rushing_usage,usages,totalYards,turnover_margin,total_tds,off_drives,def_drives,off_explode,def_explode,off_ppa,def_ppa,off_success_rate,def_success_rate,coach,career_win_pct,sor,sos
Air Force,2014,Mountain West,9.7,0.7692307692307693,0.5317919075144508,0.1666666666666666,1071.0,-16.682,-5.908333333333333,112,97.78,100.9425,0.0,0.0,0.751,0.652,0.684,4411.0,-4.0,38.0,139,137,0.8605609859927686,0.9026380386512174,0.0966014803773732,0.2142950500401505,0.4396442185514612,0.5189125295508275,Troy Calhoun,0.5444444444444444,115.0,113
Air Force,2015,Mountain West,8.2,0.5714285714285714,0.5483870967741935,0.7692307692307693,1432.0,-2.584,-5.466666666666667,123,98.02,105.9825,0.0,0.0,0.162,0.711,0.646,5443.0,1.0,50.0,165,161,1.0899352301297762,1.4257668280885598,0.2070592052441185,0.1387954330053606,0.4518371400198609,0.3758314855875831,Troy Calhoun,0.5728155339805825,48.0,86
Air Force,2016,Mountain West,9.4,0.7692307692307693,0.55,0.5714285714285714,1533.0,1.846,-4.766666666666667,114,110.9,103.36,0.0,0.0,0.145,0.741,0.625,6315.0,-5.0,60.0,177,173,1.154044513023797,1.5492063536048384,0.2724491453128576,0.1726540012252137,0.474216380182002,0.357630979498861,Troy Calhoun,0.5726495726495726,71.0,113
Air Force,2017,Mountain West,4.4,0.4166666666666667,0.5633802816901409,0.7692307692307693,1593.0,0.881,-4.683333333333334,109,115.88,105.645,0.0,0.0,0.987,0.482,0.556,5878.0,6.0,53.0,147,148,1.0275857011594356,1.5340937930016307,0.2276965729825056,0.1587697100392063,0.4833333333333333,0.3660477453580902,Troy Calhoun,0.5923076923076923,49.0,82
Air Force,2018,Mountain West,6.4,0.4166666666666667,0.5555555555555556,0.4166666666666667,1422.0,-6.875,-7.083333333333333,122,110.51,108.8275,0.0,0.0,0.878,0.688,0.72,5004.0,-11.0,48.0,138,139,1.0956989517704143,1.3745919304656973,0.235541975343675,0.2476605763314224,0.4883977900552486,0.4220963172804532,Troy Calhoun,0.5774647887323944,94.0,86
Air Force,2019,Mountain West,10.9,0.8461538461538461,0.5485232067510548,0.4166666666666667,1498.0,-3.182,-0.75,107,134.5,117.9475,0.0,0.0,0.885,0.559,0.581,4980.0,-1.0,43.0,139,140,1.1225774998605669,1.4435714431663933,0.223774673426923,0.184819952877025,0.4646118721461187,0.3977900552486187,Troy Calhoun,0.564935064935065,100.0,80
Air Force,2020,Mountain West,4.7,0.5,0.564,0.8461538461538461,1717.0,7.268,-3.908333333333333,107,142.11,125.75,0.0,0.0,0.0,0.0,0.0,5483.0,3.0,55.0,132,128,1.0447553445194098,1.2147109189632566,0.318318767442628,0.1245423085824135,0.5311438278595696,0.4071618037135278,Troy Calhoun,0.5868263473053892,23.0,115
Air Force,2021,Mountain West,9.1,0.7692307692307693,0.5625,0.5,1675.0,-1.03,-5.383333333333333,90,144.16,132.82,0.0,0.0,1.0,0.662,0.724,2336.0,0.0,19.0,58,59,1.0584534046446898,1.1330189127870776,0.3319451657494842,0.1224605638425662,0.5353260869565217,0.4397759103641456,Troy Calhoun,0.5838150289017341,83.0,110
Air Force,2022,Mountain West,9.9,0.7692307692307693,0.5724907063197026,0.7692307692307693,1725.0,0.67,0.1,114,110.12,132.7225,0.0,0.0,0.917,0.892,0.852,5509.0,7.0,52.0,129,124,1.1840236508511437,1.4082204415602948,0.2808179113486533,0.1780302638968385,0.4568047337278106,0.376311844077961,Troy Calhoun,0.5967741935483871,33.0,124
Air Force,2023,Mountain West,10.7,0.6923076923076923,0.5815602836879432,0.7692307692307693,1768.0,3.75,-10.666666666666666,104,130.58,131.7425,0.0,0.0,0.034,0.288,0.263,5170.0,4.0,45.0,120,115,1.1328877642797477,1.1873040310433702,0.2978777769567962,0.1230156433224521,0.4805699481865285,0.4023769100169779,Troy Calhoun,0.6080402010050251,49.0,121
Akron,2014,Mid-American,5.4,0.4166666666666667,0.3554216867469879,0.4166666666666667,1121.0,-12.121,-12.792307692307691,113,97.33,78.8425,0.0,0.0,1.0,0.989,0.952,4104.0,-2.0,30.0,149,156,0.9733520418272044,0.952423541331855,0.0230913257833935,0.0668494900310818,0.3858764186633039,0.4051724137931034,Terry Bowden,0.5955056179775281,96.0,120
Akron,2015,Mid-American,7.9,0.6153846153846154,0.3595505617977528,0.4166666666666667,1221.0,-10.663,-9.507692307692308,127,82.38,86.8625,0.0,0.0,0.997,0.995,0.758,4479.0,-3.0,32.0,162,161,1.1196735553943566,1.187002769279624,0.0659336106025283,0.1274328999325892,0.4107744107744108,0.4144353899883585,Terry Bowden,0.5742574257425742,107.0,116
Akron,2016,Mid-American,5.8,0.4166666666666667,0.3769633507853403,0.6153846153846154,1324.0,-6.536,-5.046153846153846,132,82.29,89.91,0.0,0.0,0.924,0.323,0.548,4642.0,10.0,38.0,171,166,1.214343035777561,1.193461940171329,0.0973150370348362,0.0818986035246865,0.3947667804323094,0.3924794359576968,Terry Bowden,0.5789473684210527,74.0,100
Akron,2017,Mid-American,5.3,0.5,0.3793103448275862,0.4166666666666667,1214.0,-11.887,-4.258333333333333,131,88.91,87.7275,0.0,0.0,0.9,0.81,0.726,4649.0,-9.0,38.0,145,156,1.3853291679045332,1.1450385907664624,0.1623511584956749,0.2256021902474863,0.3997429305912596,0.472668810289389,Terry Bowden,0.5634920634920635,99.0,81
Akron,2018,Mid-American,2.9,0.3333333333333333,0.3870967741935484,0.5,1165.0,-12.316,-7.391666666666667,127,108.81,90.5975,0.0,0.0,0.394,0.481,0.375,4429.0,10.0,38.0,172,178,1.277696208283924,1.162414745767648,0.0860933545670235,0.1650385808920024,0.3761160714285714,0.4681467181467181,Terry Bowden,0.5571428571428572,84.0,81
Akron,2019,Mid-American,1.4,0.0,0.3842794759825327,0.3333333333333333,1142.0,-13.693,-9.316666666666666,114,130.23,102.56,0.0,0.0,1.0,0.416,0.689,3549.0,-7.0,21.0,164,161,1.2558706928336616,1.1116516633940168,0.0422905962131992,0.0887918046495842,0.3455019556714472,0.4222222222222222,Tom Arth,0.0,107.0,128
Akron,2020,Mid-American,1.8,0.1666666666666666,0.3651452282157676,0.0,756.0,-28.564,-10.416666666666666,125,129.48,114.3575,0.0,0.0,0.93,0.588,0.811,2906.0,-12.0,14.0,149,148,1.282022535375185,1.075839632028725,-0.0617048868517145,0.2174649070238367,0.3103448275862069,0.4799541809851088,Tom Arth,0.0,127.0,103
Akron,2021,Mid-American,1.9,0.1666666666666666,0.3603238866396761,0.1666666666666666,905.0,-25.449,-9.516666666666667,119,113.25,120.4425,0.0,0.0,0.902,0.788,0.805,1680.0,-3.0,11.0,71,66,1.387420786311878,1.3978026588416026,0.0077221548315633,0.4157989361036545,0.3426966292134831,0.4931129476584022,Tom Arth,0.0555555555555555,113.0,67
Akron,2021,Mid-American,1.9,0.1666666666666666,0.3603238866396761,0.1666666666666666,905.0,-25.449,-9.516666666666667,119,113.25,120.4425,0.0,0.0,0.902,0.788,0.805,1680.0,-3.0,11.0,71,66,1.387420786311878,1.3978026588416026,0.0077221548315633,0.4157989361036545,0.3426966292134831,0.4931129476584022,Oscar Rodriguez,0.0,113.0,67
Akron,2022,Mid-American,1.5,0.1666666666666666,0.3513513513513513,0.1666666666666666,895.0,-25.243,-6.758333333333333,127,81.7,113.665,0.0,0.0,0.343,0.806,0.485,4073.0,-5.0,29.0,115,110,1.3306148110688605,1.2509158437238834,0.1635257810987948,0.4209465301574766,0.4100294985250737,0.5526717557251909,Joe Moorhead,0.5384615384615384,127.0,79
Akron,2023,Mid-American,3.8,0.1666666666666666,0.3431734317343173,0.1666666666666666,1154.0,-17.322,-13.075,109,121.18,111.4025,0.0,0.0,0.995,0.596,0.758,4150.0,-12.0,28.0,109,108,1.1852259400983118,1.3034941799022344,0.1139736540297813,0.2692476609391455,0.4260162601626016,0.458041958041958,Joe Moorhead,0.4210526315789473,130.0,127
Alabama,2014,SEC,11.7,0.8571428571428571,0.6944444444444444,0.8461538461538461,2114.0,28.891,15.45,1,319.71,312.7075,20.0,0.7553191489361702,0.078,0.911,0.589,5903.0,2.0,58.0,143,150,0.9156061987783636,0.9124258787547346,0.1859583986529288,-0.008828603692146,0.5019607843137255,0.3790760869565217,Nick Saban,0.7456140350877193,10.0,4
Alabama,2015,SEC,12.5,0.9333333333333332,0.7061855670103093,0.8571428571428571,2130.0,26.766,17.957142857142856,1,311.1,315.8575,21.0,0.7755102040816326,0.134,0.364,0.251,6783.0,-2.0,67.0,175,175,1.1949497374730125,1.1974705600407711,0.3242068441426016,0.0472704011315685,0.5160975609756098,0.3639207507820646,Nick Saban,0.7520661157024794,2.0,1
Alabama,2016,SEC,13.9,0.9333333333333332,0.722488038277512,0.9333333333333332,2197.0,27.35,13.835714285714284,1,302.04,313.08750000000003,17.0,0.7653061224489796,0.112,0.124,0.279,6406.0,10.0,55.0,200,198,1.1466680338062294,1.350995776701606,0.1908456680989625,-0.0173132193749121,0.4518790100824931,0.3156216790648246,Nick Saban,0.7626459143968871,1.0,1
Alabama,2017,SEC,12.8,0.9285714285714286,0.7366071428571429,0.9333333333333332,2331.0,31.19,10.157142857142857,1,323.87,314.18,23.0,0.801980198019802,0.9,0.869,0.791,6829.0,8.0,59.0,193,203,1.1989695362505193,1.216493917934877,0.2599913134354914,-0.0974436401136359,0.4779756326148078,0.3202020202020202,Nick Saban,0.7720588235294118,1.0,29
