,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted
0,242410259,Virginia Tech,13,home,0,0,10,0,1,1,7,18,5-13,0-0,294,180,14-29,5.3,141,34,4.1,0-0,3,2,1,19:30,USC,24,away,2,0,60,0,4,3,6,32,0,1,16,6-14,0-1,373,284,19-29,9.4,101,29,3.5,0-0,0,0,0,17:08,,,
1,242410193,Indiana State,0,away,2,0,,,,0,,12,0-0,0-0,204,137,18-33,4.8,44,31,1.4,8-63,3,2,1,18:28,Miami (OH),49,home,2,3,116,1,7,3,7,0,0,1,26,4-11,1-3,454,292,24-37,7.9,162,39,4.2,0-0,3,2,1,18:05,,,
2,242482426,Duke,12,away,3,1,,,,0,6,14,2-13,1-2,265,115,13-22,4.1,175,39,4.5,0-0,0,0,0,17:57,Navy,27,home,0,3,30,0,5,1,3,,,,23,4-10,3-4,430,134,8-9,14.3,301,57,5.3,0-0,3,3,0,18:43,,,
3,242480120,Northern Illinois,20,away,3,0,-4,0,1,1,4,20,4-18,2-2,337,228,19-37,5.9,118,38,3.1,0-0,3,1,2,18:34,Maryland,23,home,1,2,22,0,2,0,11,36,0,2,21,5-12,0-0,367,198,12-22,7.7,198,46,4.3,0-0,4,3,1,18:15,1,0,1
4,242480153,William & Mary,38,away,3,0,,,,,8,21,0-0,0-0,442,322,23-41,7.9,120,31,3.9,5-45,0,0,0,19:01,North Carolina,49,home,0,5,47,0,5,2,7,,,,23,10-12,0-0,575,236,14-24,9.8,341,45,7.6,0-0,4,3,1,17:39,,,
5,242480228,Clemson,37,home,1,1,72,1,2,2,9,23,5-16,0-0,371,297,20-41,7.0,83,35,2.4,0-0,3,1,2,19:00,Wake Forest,30,away,1,2,19,0,4,1,12,47,0,2,19,8-18,0-2,410,182,10-25,6.2,254,54,4.7,0-0,1,1,0,17:00,,,
6,242480152,Richmond,0,away,1,0,,,,0,,11,0-0,0-0,167,51,10-27,2.3,104,36,2.9,9-77,3,1,2,17:32,NC State,42,home,1,2,31,1,6,2,10,3,0,2,24,5-13,2-2,403,237,24-32,7.2,174,37,4.7,0-0,1,1,0,20:31,,,
7,242480164,Rutgers,19,home,2,0,35,0,3,0,13,21,8-21,0-0,415,245,20-34,7.1,174,50,3.5,0-0,1,0,1,24:03,Michigan State,14,away,0,0,23,0,4,2,2,19,0,1,16,2-12,0-1,360,280,22-39,6.9,90,22,4.1,0-0,3,2,1,12:17,31,1,1
8,242480356,Florida A&M,13,away,0,2,,,,0,1,21,0-0,0-0,358,269,37-55,5.2,71,25,2.8,5-36,3,1,2,18:06,Illinois,52,home,1,3,24,0,2,1,10,23,1,2,26,5-11,1-1,554,258,18-23,11.2,296,48,6.2,0-0,0,0,0,18:34,,,
9,242480275,UCF,6,away,1,0,0,0,1,0,,11,6-16,0-0,230,201,13-24,7.4,53,35,1.5,0-0,3,2,1,17:13,Wisconsin,34,home,2,2,68,0,6,2,10,15,0,1,23,6-14,2-3,400,170,9-20,8.5,230,49,4.7,0-0,1,1,0,19:32,,,
10,242482294,Kent State,7,away,0,0,0,0,1,0,1,11,2-12,0-3,110,146,19-36,3.4,-13,19,-0.7,0-0,4,2,2,11:09,Iowa,39,home,2,2,42,0,4,2,9,54,1,2,22,10-21,0-1,437,244,18-30,7.4,214,60,3.6,0-0,1,0,1,25:10,99,1,1
11,242480130,Miami (OH),10,away,0,1,158,0,5,0,4,13,7-16,0-1,250,225,19-40,5.4,33,25,1.3,0-0,7,2,5,17:23,Michigan,43,home,2,3,57,0,4,2,7,203,1,5,14,8-17,0-1,274,172,16-28,5.7,115,40,2.9,0-0,1,0,1,19:24,18,0,1
12,242480194,Cincinnati,6,away,2,0,,,,0,6,11,5-18,1-3,238,162,17-37,4.4,76,26,2.9,0-0,0,0,0,16:20,Ohio State,27,home,0,1,0,0,1,2,9,,,,21,6-13,0-1,462,249,16-29,8.3,220,43,5.1,0-0,4,2,2,20:27,5,0,2
