,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns
0,252462426,Maryland,23,away,0,1,9,0,1,1,9,0,0,1,29,2-9,1-1,427,230,19-30,7.2,210,40,5.3,0-0,2,0,2,18:23,Navy,20,home,0,3,7,0,1,0,2,16,0,2,17,6-14,2-4,343,99,5-12,8.1,246,49,5.0,0-0,1,0,1,18:17,,,,,,
1,252460127,Kent State,14,away,2,0,19,0,3,2,2,0,0,1,15,6-18,1-2,315,312,32-55,5.5,14,15,0.9,0-0,1,0,1,15:41,Michigan State,49,home,0,5,63,0,6,2,5,16,0,1,35,6-11,0-1,685,332,27-35,9.5,354,55,6.4,0-0,3,2,1,20:23,,,,,,
2,252460356,Rutgers,30,away,1,1,17,0,3,2,12,41,0,2,21,3-15,0-0,517,352,27-44,7.8,175,27,6.5,0-0,0,0,0,17:47,Illinois,33,home,0,1,,,,3,9,,,,26,3-12,1-1,437,253,24-34,6.9,204,48,4.3,0-0,3,1,2,18:55,,,,,,
3,252460275,Bowling Green,42,away,0,1,49,0,2,5,,0,0,1,28,7-16,2-2,531,490,30-52,8.8,73,29,2.5,0-0,1,0,1,16:19,Wisconsin,56,home,0,7,19,0,1,1,8,0,0,1,27,6-11,2-2,504,116,8-10,11.6,388,63,6.2,0-0,1,0,1,20:00,,,,,,
4,252462294,Ball State,0,away,3,0,,,,0,,,,,7,4-17,0-1,144,109,11-23,4.0,51,34,1.5,0-0,1,1,0,17:21,Iowa,56,home,1,5,131,1,6,2,8,,,,22,4-10,1-2,441,205,19-20,10.0,241,47,5.1,0-0,3,3,0,18:35,,,,,,
5,252460130,Northern Illinois,17,away,1,2,1,0,1,0,5,,,,20,4-8,0-0,411,208,17-25,8.0,211,32,6.6,0-0,6,5,1,15:30,Michigan,33,home,5,2,,,,2,9,-4,0,1,29,11-17,1-2,447,239,21-33,7.2,208,48,4.3,0-0,1,1,0,21:09,,,,,,
6,252460194,Miami (OH),14,away,1,1,10,0,1,1,2,0,0,1,21,8-17,0-1,298,291,24-44,5.7,48,30,1.6,0-0,3,2,1,18:23,Ohio State,34,home,2,1,32,0,3,2,10,26,1,1,24,5-10,1-1,382,226,22-30,7.4,160,36,4.4,0-0,2,1,1,18:12,,,,,,
7,252440202,Tulsa,10,home,1,0,0,0,1,1,4,0,0,1,19,8-19,1-1,353,225,27-41,5.3,135,35,3.9,0-0,4,3,1,19:49,Minnesota,41,away,3,4,2,0,2,1,11,,,,24,6-12,0-1,536,252,14-25,9.4,301,44,6.8,0-0,2,1,1,25:10,,,,,,
8,252452117,Central Michigan,13,home,0,1,11,0,6,0,7,0,0,1,15,3-18,0-0,383,244,18-36,6.0,167,32,5.2,0-0,0,0,0,15:35,Indiana,20,away,0,0,25,0,7,3,2,,,,20,3-17,1-1,385,312,17-35,7.9,109,45,2.4,0-0,1,0,1,21:03,,,,,,
9,252460077,Ohio,14,away,2,1,17,0,3,0,2,0,0,1,13,0-9,0-0,239,190,12-28,6.3,62,23,2.7,0-0,3,2,1,13:07,Northwestern,38,home,2,3,63,0,5,2,8,3,0,1,29,11-21,0-1,550,367,28-40,8.9,194,47,4.1,0-0,3,2,1,23:43,,,,,,
10,252460062,Hawai'i,17,home,0,0,-2,0,2,2,5,0,0,1,23,5-13,0-2,437,393,33-49,7.7,60,21,2.9,0-0,2,1,1,20:33,USC,63,away,1,3,,,,4,9,65,1,1,24,5-10,1-2,518,345,20-29,11.8,177,33,5.4,0-0,1,0,1,16:08,,,,,,
11,252460021,San Diego State,21,home,0,2,3,0,1,0,1,,,,23,9-18,1-2,402,271,24-35,7.0,156,46,3.4,0-0,2,0,2,20:29,UCLA,44,away,0,4,121,1,3,0,14,38,0,2,16,5-11,0-1,349,166,12-18,8.8,191,35,5.5,0-0,0,0,0,16:12,,,,,,
12,252462005,Air Force,20,home,0,1,13,0,2,1,8,,,,22,9-17,3-3,425,207,13-22,9.4,218,52,4.2,0-0,2,2,0,19:11,Washington,17,away,2,1,,,,1,5,,,,18,6-12,0-1,371,242,19-27,9.0,129,34,3.8,0-0,0,0,0,17:28,,,,,,
13,252440009,Temple,16,away,1,1,1,0,2,1,2,0,0,2,18,6-16,0-1,265,203,18-37,5.5,62,35,1.8,0-0,3,1,2,18:01,Arizona State,63,home,1,4,58,0,8,1,9,,,,27,6-11,1-1,559,267,19-31,8.4,300,44,6.8,0-0,3,1,2,18:38,,,,,,
14,252460025,Sacramento State,3,away,2,0,11,0,2,0,3,4,0,2,9,0-4,0-0,189,114,16-37,3.3,68,32,2.1,6-35,3,3,0,18:02,California,41,home,3,2,116,1,7,2,11,,,,16,4-15,0-1,395,183,10-28,6.5,212,41,5.2,0-0,4,2,2,18:38,71,0,5,,,
15,252450254,Utah,27,home,2,1,29,0,3,1,9,24,1,2,19,5-16,1-2,446,220,19-31,7.1,226,38,5.9,0-0,1,1,0,19:09,Arizona,24,away,1,1,0,0,2,0,,,,,25,6-14,0-1,391,302,24-42,6.8,104,33,3.2,0-0,4,2,2,17:31,,,,,,
16,252460204,Portland State,14,away,0,1,20,0,3,1,2,0,0,1,13,0-0,0-0,300,174,15-33,5.3,126,34,3.7,1-10,2,0,2,19:38,Oregon State,41,home,0,1,12,0,5,4,11,12,0,2,24,6-14,0-0,479,416,28-46,8.7,77,26,3.0,0-0,1,0,1,16:56,121,0,5,,,
17,252440248,Houston,24,home,0,1,0,0,1,2,6,11,0,1,18,5-16,2-4,412,329,24-43,7.3,100,26,3.8,0-0,2,0,2,16:37,Oregon,38,away,0,1,69,0,4,2,16,22,0,2,30,7-15,0-0,554,348,30-49,7.1,206,36,5.7,0-0,1,0,1,20:33,,,,,,
18,252440265,Idaho,26,away,1,1,4,0,3,2,8,7,0,2,19,4-17,0-0,266,196,19-32,5.6,86,41,2.1,0-0,1,1,0,21:27,Washington State,38,home,1,2,28,0,6,3,8,,,,16,5-15,1-1,436,230,17-29,7.9,206,35,5.9,0-0,3,1,2,17:25,,,,,,
19,252470183,West Virginia,15,away,0,0,33,0,5,0,7,31,1,2,16,1-14,2-2,339,173,17-27,6.2,172,45,3.8,0-0,5,4,1,20:34,Syracuse,7,home,4,1,20,0,2,0,1,0,0,1,7,0-15,0-1,103,105,15-31,2.7,18,26,0.7,0-0,2,0,2,16:04,,,,,,
20,252460221,Notre Dame,42,away,1,4,23,0,1,2,6,0,0,1,33,10-15,0-0,502,227,18-27,8.4,275,50,5.5,0-0,1,0,1,20:06,Pittsburgh,21,home,0,1,,,,1,7,3,0,1,20,4-14,0-3,323,258,20-35,6.3,103,31,3.3,0-0,2,1,1,16:45,,,,,,
21,252460213,South Florida,13,away,3,0,1,0,1,2,1,8,0,1,17,6-19,0-1,297,200,21-39,5.1,97,36,2.7,0-0,2,1,1,19:00,Penn State,23,home,1,2,58,0,5,0,5,16,0,1,18,3-9,0-0,354,120,9-15,6.0,264,39,6.8,0-0,4,3,1,17:10,,,,,,
22,252460158,Maine,7,away,3,0,,,,1,,0,0,2,10,7-21,0-1,145,82,16-36,4.2,-6,37,-0.2,7-55,2,1,1,19:08,Nebraska,25,home,1,1,196,0,9,0,13,27,1,1,17,5-17,1-3,313,197,15-36,5.3,121,42,2.9,0-0,5,3,2,17:27,92,0,5,,,
23,252460038,Colorado State,28,away,2,1,12,0,2,3,4,33,0,1,21,6-16,1-2,386,296,28-43,6.8,95,34,2.8,0-0,4,0,4,19:21,Colorado,31,home,0,3,16,0,2,0,11,21,0,4,19,3-10,0-1,396,303,22-33,8.6,113,29,3.9,0-0,3,2,1,16:43,,,,,,
24,252462306,Florida International,21,away,4,1,40,1,3,1,3,0,0,1,10,5-15,1-3,236,154,17-34,4.5,82,26,3.2,0-0,3,2,1,16:37,Kansas State,35,home,2,2,99,0,6,2,9,0,0,1,21,8-17,0-0,407,175,19-31,5.2,246,42,5.9,0-0,5,4,1,20:04,,,,,,
25,252462032,Arkansas State,17,home,2,1,39,0,3,1,5,20,0,1,18,1-15,1-1,323,232,19-38,5.4,117,29,4.0,0-0,2,1,1,17:56,Missouri,44,away,1,2,16,0,4,4,6,0,0,1,30,8-17,1-1,657,340,33-48,7.1,317,41,7.7,0-0,3,2,1,18:44,,,,,,
26,252462305,Florida Atlantic,19,away,0,0,1,0,4,3,1,19,0,2,16,4-15,2-2,369,321,20-28,10.7,70,37,1.9,0-0,1,1,0,17:42,Kansas,30,home,1,2,47,0,6,1,8,,,,24,7-15,0-0,378,183,16-35,5.1,201,37,5.4,0-0,2,0,2,18:13,,,,,,
27,252460066,Illinois State,21,away,2,0,-12,0,2,2,1,,,,12,0-6,0-0,311,211,10-25,8.9,89,34,2.6,7-55,2,0,2,15:26,Iowa State,32,home,0,3,47,0,3,1,6,4,0,2,25,6-15,0-0,406,326,30-41,7.7,92,41,2.2,0-0,2,2,0,20:53,42,0,3,,,
28,252460251,Louisiana,3,away,1,0,,,,0,3,11,0,1,11,5-18,1-2,238,188,16-33,5.0,72,34,2.1,0-0,1,0,1,19:19,Texas,60,home,0,5,106,0,7,3,6,4,0,1,30,6-10,0-1,591,173,13-17,10.2,418,52,8.0,0-0,2,1,1,17:21,,,,,,
29,252460228,Clemson,25,home,1,0,53,1,2,0,19,37,0,1,24,7-16,1-1,396,218,16-24,8.9,183,51,3.6,0-0,0,0,0,09:00,Texas A&M,24,away,0,2,,,,1,6,,,,15,2-7,0-1,358,110,8-17,6.5,248,33,7.5,0-0,2,1,1,09:00,,,,,,
30,252460201,TCU,17,away,5,1,10,0,4,1,5,15,0,1,19,5-18,0-1,284,236,24-45,5.0,58,35,1.7,0-0,2,1,1,21:20,Oklahoma,10,home,1,1,28,0,4,0,4,23,0,1,14,3-14,0-2,225,161,13-31,4.1,97,36,2.7,0-0,6,5,1,15:01,,,,,,
31,252460197,Montana State,10,away,2,0,,,,0,4,,,,16,4-14,2-3,254,174,22-34,6.0,49,28,1.8,6-43,1,1,0,19:03,Oklahoma State,15,home,1,1,34,0,2,1,1,,,,21,3-12,1-2,378,138,11-23,5.8,244,41,6.0,0-0,2,2,0,17:36,30,0,1,,,
32,252462567,SMU,23,home,1,1,35,0,2,1,5,41,0,2,17,1-12,2-4,276,123,9-26,4.1,170,36,4.7,0-0,2,2,0,14:06,Baylor,28,away,2,3,1,0,4,0,8,,,,24,8-18,0-1,413,208,23-40,4.9,215,45,4.8,0-0,3,1,2,22:34,,,,,,
33,252460252,Boston College,20,away,0,0,24,0,2,2,8,,,,22,6-12,0-0,365,247,27-35,6.6,133,31,4.3,0-0,1,1,0,17:35,BYU,3,home,1,0,28,0,3,0,3,,,,22,4-16,0-2,338,348,41-60,5.5,8,16,0.5,0-0,0,0,0,18:52,,,,,,
34,252460057,Florida,32,home,1,1,23,0,7,3,8,0,0,1,23,4-12,0-0,411,348,26-34,9.4,91,36,2.5,0-0,0,0,0,21:09,Wyoming,14,away,0,1,6,0,3,1,2,,,,14,1-13,2-3,222,174,14-32,4.7,72,27,2.7,0-0,2,1,1,15:25,,,,,,
35,252480167,UNLV,22,away,0,1,15,0,3,2,4,,,,14,8-16,0-1,363,260,19-31,8.2,108,29,3.7,0-0,1,0,1,17:30,New Mexico,24,home,0,1,28,0,3,2,6,0,0,1,19,7-15,0-0,375,295,20-29,9.9,87,39,2.2,0-0,0,0,0,19:23,,,,,,
36,252460333,Alabama,26,home,1,2,39,0,6,1,6,,,,20,4-11,0-1,345,221,17-25,8.5,133,37,3.6,0-0,1,0,1,20:27,Middle Tennessee,7,away,0,0,11,0,2,1,1,0,0,1,9,3-12,0-0,157,148,13-20,6.2,34,25,1.4,0-0,1,1,0,16:24,,,,,,
37,252440041,Buffalo,0,away,0,0,0,0,2,0,,0,0,1,6,2-14,0-1,125,81,10-21,2.9,65,28,2.3,0-0,0,0,0,14:12,Connecticut,38,home,0,2,118,0,5,3,8,,,,24,8-17,0-0,422,151,14-21,6.3,290,55,5.3,0-0,1,0,1,22:27,,,,,,
38,252470096,Kentucky,24,home,0,1,,,,2,6,,,,17,5-10,0-0,325,327,17-27,10.3,47,27,1.7,0-0,5,5,0,15:21,Louisville,31,away,5,4,20,0,3,0,7,,,,22,7-15,0-1,388,194,19-27,6.6,209,46,4.5,0-0,0,0,0,21:20,,,,,,
39,252442132,Eastern Michigan,26,away,1,2,14,0,3,1,8,,,,18,6-15,1-2,316,174,22-33,5.1,149,31,4.8,0-0,0,0,0,14:50,Cincinnati,28,home,0,2,,,,2,4,,,,29,8-15,0-1,469,180,17-26,6.8,293,55,5.3,0-0,1,1,0,21:39,,,,,,
40,252442579,South Carolina,24,home,0,0,13,0,3,3,6,1,0,1,17,1-8,1-2,362,357,18-23,14.3,32,28,1.1,0-0,3,3,0,15:29,UCF,15,away,3,0,,,,1,4,,,,22,8-19,1-3,341,296,27-39,6.6,83,41,2.0,0-0,1,0,1,21:30,,,,,,
41,252480235,Ole Miss,10,away,1,1,37,0,5,0,4,65,0,2,16,3-15,1-1,262,240,15-31,6.7,55,36,1.5,0-0,2,0,2,18:34,Memphis,6,home,0,0,33,0,5,0,6,7,0,2,16,4-15,2-2,268,163,16-29,5.1,119,38,3.1,0-0,3,1,2,18:05,,,,,,
