,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns
0,262452426,East Carolina,23,away,2,1,2,5,19,8-13,0-0,359,294,24-35,8.1,76,25,3.0,3-28,1,1,0,16:35,Navy,28,home,1,4,15,0,3,0,4,27,6-11,3-3,409,6,2-6,1.0,403,70,5.8,2-10,2,2,0,20:05,,,,,,,,,,,,,,,
1,262450127,Idaho,17,away,0,1,1,5,16,7-16,3-3,268,164,17-31,5.0,113,36,3.1,3-25,1,0,1,19:27,Michigan State,27,home,0,2,10,0,1,1,9,19,4-11,0-1,400,230,16-25,9.0,175,36,4.9,2-21,0,0,0,16:45,1,0,2,23,0,1,,,,,,,,,
2,262450356,Eastern Illinois,17,away,3,0,2,5,0,0-0,0-0,293,180,12-22,8.5,106,33,3.2,2-25,2,0,2,18:12,Illinois,42,home,0,5,30,0,2,0,6,24,8-11,1-1,519,181,15-21,8.3,345,48,7.2,5-28,3,3,0,18:28,,,,0,0,2,113,0,5,,,,,,
3,262450189,Bowling Green,14,home,0,2,0,2,17,6-14,1-2,301,86,12-19,4.3,219,46,4.8,5-47,0,0,0,19:09,Wisconsin,35,away,0,3,62,1,4,1,5,19,3-6,0-1,321,135,9-15,8.3,197,41,4.8,2-15,1,0,1,16:19,0,0,1,,,,,,,11,0,1,,,
4,262452294,Montana,7,away,1,0,1,1,11,6-15,0-0,144,114,17-31,4.3,10,24,0.4,10-117,1,0,1,18:16,Iowa,41,home,0,2,58,0,6,3,11,22,5-13,2-2,416,253,20-35,7.1,166,38,4.4,8-87,1,1,0,18:24,,,,0,0,1,,,,,,,,,
5,262450130,Vanderbilt,7,away,1,0,1,1,9,4-15,0-2,171,167,12-26,5.0,42,26,1.6,2-20,2,2,0,16:31,Michigan,27,home,2,1,7,0,5,2,9,20,10-18,1-1,381,144,10-22,6.1,246,51,4.8,6-54,1,1,0,20:09,5,0,1,,,,,,,,,,,,
6,262450194,Northern Illinois,12,away,2,0,1,6,15,1-13,3-3,343,216,16-30,6.4,151,33,4.6,4-35,1,0,1,19:04,Ohio State,35,home,0,2,55,0,3,3,5,22,6-10,1-1,488,315,20-27,11.7,173,36,4.8,3-40,2,2,0,17:36,0,0,1,49,0,1,,,,,,,,,
7,262432309,Kent State,0,home,0,0,0,0,13,6-10,0-0,282,174,7-13,11.5,132,37,3.6,4-28,6,3,3,15:37,Minnesota,44,away,3,5,11,0,2,1,8,25,7-10,1-1,468,146,8-15,9.7,322,55,5.9,5-42,1,0,1,20:23,,,,0,0,3,,,,32,0,1,,,
8,262452509,Indiana State,35,away,0,3,1,5,20,5-13,2-4,387,225,23-36,6.5,152,32,4.8,10-54,2,0,2,17:23,Purdue,60,home,0,5,2,0,2,3,10,25,14-18,0-1,501,321,20-35,8.9,190,38,5.0,6-41,0,0,0,19:17,21,0,2,37,0,2,132,0,8,,,,,,
9,262450084,Western Michigan,20,away,1,1,1,8,19,5-14,0-0,289,242,25-34,6.4,72,32,2.3,8-91,3,1,2,19:02,Indiana,39,home,1,1,88,1,3,2,9,20,4-12,1-2,323,269,20-35,7.2,71,28,2.5,8-90,2,1,1,17:38,0,0,1,103,1,2,,,,0,0,1,,,
