,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns
0,272430218,Temple,19,home,2,0,12,0,1,2,7,16,4-11,1-1,273,209,21-29,6.9,74,25,3.0,8-60,2,0,2,18:30,Navy,30,away,0,3,7,0,1,0,12,40,0,2,21,3-10,2-2,439,78,3-7,11.1,361,56,6.4,7-69,2,2,0,17:10,,,,,,,,,
1,272440127,UAB,18,away,0,0,5,0,3,1,10,17,8-19,0-0,226,265,21-39,5.5,12,32,0.4,5-20,1,0,1,17:46,Michigan State,55,home,0,5,0,0,3,2,13,10,0,1,28,8-13,0-0,593,296,22-30,9.8,298,48,6.2,4-35,0,0,0,18:29,,,,,,,,,
2,272440356,Missouri,40,away,3,0,74,1,5,3,10,24,8-19,1-1,429,387,37-54,6.6,70,33,2.1,8-48,3,3,0,18:03,Illinois,34,home,3,3,20,1,3,1,4,,,,23,5-14,1-1,435,343,23-40,7.9,119,34,3.5,7-55,5,3,2,18:44,0,0,2,,,,,,
3,272440275,Washington State,21,away,1,2,3,0,1,1,3,17,6-14,1-2,328,179,17-28,6.1,157,32,4.9,7-60,1,0,1,14:14,Wisconsin,42,home,0,3,25,0,6,3,6,26,0,1,25,11-15,0-0,486,306,20-30,10.1,182,46,4.0,3-24,1,1,0,31:03,,,,,,,,,
4,272442459,Northern Illinois,3,home,0,0,26,0,4,0,3,14,4-16,0-0,235,247,26-42,5.1,21,21,1.0,5-41,3,0,3,18:24,Iowa,16,away,0,1,75,0,6,1,4,53,0,3,20,2-14,0-1,383,139,12-29,4.6,250,46,5.4,8-88,0,0,0,19:02,,,,,,,,,
5,272440130,Appalachian State,34,away,1,1,,,,3,10,19,0-0,0-0,387,211,17-23,9.9,160,44,3.6,7-45,3,1,2,19:12,Michigan,32,home,1,3,14,0,3,1,8,0,0,2,22,7-15,0-2,479,243,19-37,6.3,246,40,6.2,7-56,2,1,1,17:20,26,0,1,,,,,,
6,272440194,Youngstown State,6,away,2,0,1,0,1,0,6,11,0-0,0-0,176,75,11-19,4.8,85,34,2.5,4-43,0,0,0,16:28,Ohio State,38,home,0,2,31,0,4,3,8,,,,25,8-12,1-1,417,286,21-31,8.7,147,41,3.6,9-47,2,2,0,20:02,,,,51,0,3,,,
7,272440135,Bowling Green,32,away,1,1,53,0,6,3,6,24,5-14,1-1,512,424,35-53,7.8,100,22,4.5,9-85,0,0,0,16:14,Minnesota,31,home,0,2,30,0,4,2,7,,,,24,11-18,0-0,434,196,15-31,6.1,246,48,5.1,7-35,3,1,2,20:26,43,0,2,,,,,,
8,272442649,Toledo,24,home,2,3,22,0,2,0,6,20,5-19,1-4,326,184,20-42,3.7,172,43,4.0,10-94,2,0,2,21:26,Purdue,52,away,0,2,47,0,2,4,10,42,0,2,24,4-13,0-0,488,244,14-32,7.6,244,34,7.2,7-55,3,2,1,14:24,0,0,1,,,,,,
9,272440077,Northeastern,0,away,0,0,,,,0,,14,0-0,0-0,260,151,19-32,4.7,109,24,4.5,5-54,0,0,0,14:22,Northwestern,27,home,0,2,6,0,1,1,9,,,,27,8-16,2-3,417,277,25-31,8.2,163,49,3.3,5-45,0,0,0,22:18,,,,96,0,4,,,
