,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted
0,302490120,Maryland,17,home,2,2,57,0,1,0,47,0,3,5,11,1-5,0-0,272,22,2-5,2.2,261,34,7.7,4-30,2,1,1,12:19,Navy,14,away,1,2,13,0,3,0,107,0,4,2,27,0,1,26,10-18,1-2,485,78,6-10,7.3,412,72,5.7,5-35,2,2,0,23:47,,,
1,302470127,Western Michigan,14,away,2,0,30,0,6,2,69,0,4,2,16,8-23,2-4,323,243,30-53,4.5,85,32,2.7,5-25,3,2,1,20:20,Michigan State,38,home,2,4,13,0,3,1,42,0,2,8,10,0,1,19,3-11,0-0,483,201,13-22,8.5,297,37,8.0,11-69,2,2,0,23:18,,,
2,302470142,Missouri,23,home,1,0,20,0,3,2,60,0,3,11,23,9-18,0-0,379,295,34-48,5.9,98,29,3.4,7-80,1,1,0,18:01,Illinois,13,away,1,0,9,0,4,1,126,0,6,7,,,,16,5-12,0-1,281,90,9-23,3.5,200,41,4.9,7-44,4,1,3,18:39,34,0,3
3,302472439,UNLV,21,home,1,0,-2,0,2,2,113,0,6,3,10,4-14,0-0,217,127,10-26,4.0,112,27,4.1,4-30,1,1,0,13:04,Wisconsin,41,away,1,4,2,0,7,0,52,0,3,11,,,,23,6-13,0-0,475,197,15-20,9.9,278,50,5.6,5-35,2,1,1,23:21,19,1,1
4,302472294,Eastern Illinois,7,away,2,0,,,,1,70,0,5,1,6,3-13,1-1,157,105,13-20,4.6,65,24,2.7,5-43,0,0,0,17:02,Iowa,37,home,0,3,59,1,3,1,73,0,3,5,,,,24,7-11,0-1,435,270,21-26,9.8,179,39,4.6,1-5,2,2,0,19:38,,,
5,302470130,Connecticut,10,away,0,1,,,,0,47,0,4,4,16,4-15,3-6,343,205,18-38,5.4,138,30,4.6,2-10,1,1,0,14:28,Michigan,30,home,1,3,7,0,1,1,41,0,3,6,,,,28,14-19,1-2,473,186,19-22,8.5,287,61,4.7,1-13,0,0,0,22:12,,,
6,302450194,Marshall,7,away,0,0,2,0,3,0,173,0,7,1,11,4-14,0-0,199,165,18-35,4.4,44,21,2.1,8-60,3,2,1,15:23,Ohio State,45,home,2,2,30,0,5,3,36,0,2,9,30,1,1,23,4-12,1-1,529,259,18-27,9.2,280,41,6.8,7-47,0,0,0,21:16,,,
7,302452393,Middle Tennessee,17,home,0,1,,,,1,108,0,5,5,12,1-8,0-0,318,172,13-18,9.6,146,22,6.6,4-27,2,1,1,08:03,Minnesota,24,away,1,3,18,0,3,0,78,0,4,6,3,0,1,27,8-16,2-2,431,168,10-17,8.8,281,67,4.2,4-25,0,0,0,27:34,,,
8,302470087,Notre Dame,23,home,0,1,38,0,3,1,50,0,2,11,20,6-12,0-0,358,215,19-26,7.9,153,36,4.3,2-15,1,1,0,15:35,Purdue,12,away,1,1,0,0,2,0,82,0,6,4,,,,20,5-17,2-4,322,254,31-42,5.2,102,32,3.2,5-33,2,0,2,21:05,0,0,2
9,302450084,Towson,17,away,0,0,18,0,3,2,227,0,9,5,16,4-16,2-5,392,165,16-35,4.7,227,42,5.4,4-40,3,0,3,22:39,Indiana,51,home,0,3,13,0,2,2,118,0,3,15,62,1,3,18,2-10,0-0,360,205,18-30,6.8,155,26,6.0,3-25,0,0,0,14:01,,,
10,302470238,Vanderbilt,21,home,1,2,-1,0,1,1,128,0,5,3,22,4-13,1-1,432,247,19-33,7.3,192,38,5.1,9-91,1,0,1,17:46,Northwestern,23,away,0,0,-3,0,2,3,72,0,4,5,18,0,1,21,4-13,0-0,365,250,19-21,10.6,143,46,3.1,5-40,1,1,0,18:54,,,
11,302450062,Hawai'i,36,home,1,1,,,,3,82,0,4,12,31,8-15,0-1,588,483,27-49,9.4,129,29,4.4,5-42,0,0,0,19:04,USC,49,away,0,1,100,1,3,5,101,0,7,3,,,,25,9-12,0-0,524,284,20-27,10.3,246,35,7.0,11-100,1,1,0,16:26,,,
12,302472306,Kansas State,31,home,1,3,38,0,4,1,23,0,1,7,18,8-16,1-1,377,98,12-17,3.8,313,54,5.8,6-52,2,2,0,21:56,UCLA,22,away,2,1,14,0,4,1,55,0,2,10,,,,17,3-13,1-1,313,134,9-26,4.6,193,37,5.2,8-55,3,1,2,14:44,1,0,2
13,302470252,BYU,23,home,0,0,26,0,2,2,72,0,4,7,23,5-16,1-1,408,262,24-40,6.6,146,33,4.4,6-60,0,0,0,19:12,Washington,17,away,0,1,,,,1,20,0,3,5,,,,20,5-15,0-3,394,270,20-39,6.8,128,31,4.1,5-66,0,0,0,16:49,,,
14,302470009,Portland State,9,away,0,0,5,0,1,0,97,0,7,9,14,5-16,0-1,263,222,18-37,5.6,54,29,1.9,11-73,3,0,3,21:11,Arizona State,54,home,0,5,15,0,3,2,65,0,3,10,27,0,3,23,4-8,0-1,553,314,20-31,10.0,242,35,6.9,11-93,1,0,1,15:10,0,0,1
15,302470024,Sacramento State,17,away,2,1,70,0,1,0,95,0,5,5,12,5-15,1-2,167,124,15-27,4.2,54,30,1.8,11-85,1,1,0,17:19,Stanford,52,home,1,3,8,0,3,4,100,0,4,10,,,,20,4-9,1-1,529,326,17-24,13.2,213,38,5.6,7-58,2,2,0,18:53,,,
16,302470025,UC Davis,3,away,1,0,3,0,2,0,167,0,9,3,4,3-14,0-0,81,82,9-26,2.6,14,19,0.7,2-14,1,1,0,13:34,California,52,home,1,4,55,0,9,3,21,0,2,10,,,,26,8-15,2-3,517,287,20-28,10.3,230,47,4.9,4-30,1,1,0,22:22,,,
17,302462649,Toledo,2,home,0,0,-10,0,3,0,96,0,7,,9,5-14,0-1,183,118,14-23,4.5,80,28,2.9,6-40,2,1,1,24:14,Arizona,41,away,1,3,47,0,5,3,19,0,1,5,1,0,1,26,8-11,0-0,518,423,37-44,9.4,105,25,4.2,8-48,1,0,1,20:22,0,0,1
18,302472628,TCU,30,home,0,3,42,0,5,1,105,0,5,4,28,11-17,0-0,453,181,17-27,6.5,278,54,5.1,6-45,2,0,2,23:32,Oregon State,21,away,0,1,13,0,4,2,114,0,5,3,21,0,2,13,4-11,1-1,255,188,10-26,7.0,73,25,2.9,4-30,0,0,0,12:12,,,
19,302472483,New Mexico,0,away,0,0,,,,0,251,0,12,,8,3-13,0-4,107,84,13-29,2.8,25,32,0.8,3-25,5,3,2,16:40,Oregon,72,home,3,5,134,2,4,2,9,0,1,18,2,0,2,35,13-19,1-2,720,351,23-37,9.5,369,58,6.4,7-70,1,0,1,20:00,28,0,1
20,302470197,Oklahoma State,65,home,2,5,19,1,9,3,56,0,3,11,27,4-14,1-1,544,270,27-37,6.8,291,44,6.6,4-40,0,0,0,17:54,Washington State,17,away,0,1,14,0,5,1,20,0,1,5,,,,12,5-18,0-2,324,224,14-30,7.1,112,41,2.7,4-40,2,2,0,18:46,,,
21,302472006,Akron,3,home,2,0,,,,0,102,0,5,3,9,4-17,0-1,166,121,12-35,3.2,55,24,2.3,10-82,0,0,0,15:07,Syracuse,29,away,0,1,2,0,5,2,29,0,2,5,,,,19,10-19,0-0,431,238,17-27,8.5,202,45,4.5,5-43,3,2,1,20:56,34,0,1
22,302450254,Utah,27,home,1,0,-2,0,2,3,63,0,3,9,21,7-14,0-0,405,283,21-36,7.9,122,27,4.5,11-99,3,2,1,15:45,Pittsburgh,24,away,2,1,18,0,2,1,75,0,4,10,0,0,1,17,5-14,1-1,266,200,16-28,6.6,82,36,2.3,12-75,2,1,1,20:38,2,0,1
23,302450164,Norfolk State,0,away,0,0,,,,0,92,0,5,0,7,0-12,0-1,156,135,11-24,5.5,25,24,1.0,7-85,1,1,0,13:39,Rutgers,31,home,1,1,60,1,5,1,18,0,1,11,,,,20,6-15,0-1,422,166,11-21,7.3,268,50,5.4,8-62,0,0,0,22:57,,,
24,302470277,Coastal Carolina,0,away,2,0,3,0,2,0,94,0,6,0,9,2-14,1-2,186,123,14-27,4.6,63,33,1.9,6-40,2,1,1,17:11,West Virginia,31,home,1,2,10,0,2,2,15,0,1,7,0,0,1,17,9-17,1-1,400,216,23-32,6.8,184,39,4.7,3-25,3,2,1,19:29,37,0,1
25,302470213,Youngstown State,14,away,0,0,,,,2,64,0,4,2,14,2-12,2-3,264,197,21-25,7.6,75,34,2.2,8-65,0,0,0,19:30,Penn State,44,home,0,2,24,0,3,2,142,1,3,14,,,,22,7-11,0-0,371,239,20-29,8.2,132,29,4.6,3-20,1,0,1,17:26,0,0,1
