,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns
0,312462426,Delaware,17,away,0,2,0,116,0,6,5,0,0,1,22,7-14,0-0,378,143,17-29,4.9,235,34,6.9,5-45,1,0,1,16:55,Navy,40,home,0,4,16,0,2,1,33,0,3,10,26,0,1,22,7-13,1-1,437,46,4-7,6.6,391,59,6.6,0-0,1,0,1,19:45,,,
1,312440183,Wake Forest,29,away,1,0,3,72,0,5,11,,,,23,7-19,2-3,406,345,24-41,8.0,80,43,1.9,10-94,1,0,1,21:51,Syracuse,36,home,0,2,,,,3,136,0,7,4,0,0,1,15,3-11,0-0,299,187,20-28,6.4,121,30,4.0,8-76,1,1,0,14:43,12,0,3
2,312460221,Buffalo,16,away,1,2,0,80,0,4,4,,,,28,8-20,2-4,403,285,32-49,5.6,127,44,2.9,6-57,1,0,1,23:28,Pittsburgh,35,home,0,4,52,0,4,1,101,0,3,5,47,0,1,21,4-11,0-0,410,186,16-28,6.4,231,38,6.1,5-53,1,1,0,13:22,-1,0,2
3,312440164,North Carolina Central,0,away,0,0,0,109,0,5,,0,0,1,8,5-17,0-0,120,160,14-30,3.7,8,30,0.3,9-58,2,0,2,15:35,Rutgers,48,home,0,2,5,0,5,2,0,0,1,12,37,1,2,20,8-17,2-2,347,210,15-34,6.2,137,41,3.3,7-55,1,0,1,21:04,-2,0,2
4,312470277,Marshall,13,away,0,0,0,102,0,6,7,,,,9,3-11,0-1,187,122,15-21,5.5,72,23,3.1,7-35,0,0,0,12:11,West Virginia,34,home,0,1,46,0,5,2,119,1,2,10,,,,17,7-14,0-1,291,265,26-35,7.1,42,26,1.6,2-15,0,0,0,15:12,87,1,1
5,312460167,New Mexico,10,home,1,0,1,31,0,2,4,,,,22,5-17,2-3,329,224,20-31,5.8,150,48,3.1,8-50,3,3,0,20:03,Colorado State,14,away,3,1,35,0,3,1,87,0,3,2,,,,12,4-13,1-3,270,188,22-26,6.8,92,28,3.3,4-50,1,1,0,18:55,0,0,2
6,312462751,Weber State,32,away,0,2,2,88,0,5,8,0,0,1,27,5-16,1-3,582,323,19-28,11.2,268,51,5.3,9-78,0,0,0,20:33,Wyoming,35,home,0,2,3,0,3,3,155,0,7,5,,,,20,3-14,2-4,463,310,27-42,7.0,169,38,4.4,9-75,1,0,1,15:07,8,0,1
7,312460021,Cal Poly,21,away,0,3,0,162,0,6,3,,,,12,5-15,0-0,285,161,7-14,10.5,138,45,3.1,7-65,0,0,0,14:32,San Diego State,49,home,0,2,17,0,6,4,143,1,4,7,,,,22,8-17,2-2,492,203,15-28,7.3,289,49,5.9,5-40,0,0,0,21:55,5,0,1
8,312462005,South Dakota,20,away,1,1,2,45,0,3,2,9,0,2,20,8-16,0-0,368,210,15-26,7.1,184,44,4.2,9-83,3,0,3,21:12,Air Force,37,home,0,4,16,0,2,1,58,0,2,7,22,0,3,21,8-14,0-0,487,100,4-9,10.7,391,61,6.4,6-64,3,1,2,15:10,23,0,1
9,312440275,Wisconsin,51,home,0,5,2,101,0,4,9,,,,20,2-5,1-1,499,269,11-15,17.2,241,38,6.3,6-50,0,0,0,15:40,UNLV,17,away,0,0,0,0,2,2,160,0,8,5,,,,19,2-12,2-2,292,165,18-27,5.4,146,38,3.8,7-65,0,0,0,21:00,58,0,3
