,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted
0,400603830,Florida,61,home,0,4,30,0,3,4,46,0,2,13,43,0,1,28,10-15,2-2,606,384,31-38,10.1,222,41,5.4,1-10,1,1,0,37:56,New Mexico State,13,away,1,1,1,22,0,1,1,8,1-12,2-3,200,136,15-29,4.7,64,22,2.9,1-9,1,0,1,22:04,,,,,,
1,400787302,Ohio,45,away,1,2,0,0,1,3,17,0,1,9,54,1,2,23,5-10,0-0,489,284,20-25,11.4,205,38,5.4,10-92,1,1,0,29:23,Idaho,28,home,1,2,1,157,0,8,8,25,4-14,4-5,397,297,36-48,6.2,100,28,3.6,3-30,3,1,2,30:37,-1,0,1,,,
2,400763403,Texas,3,away,0,0,3,0,2,0,125,0,6,3,,,,8,2-14,0-0,163,103,8-23,4.5,60,29,2.1,4-50,0,0,0,20:50,Notre Dame,38,home,0,2,3,10,0,1,8,30,8-14,0-0,527,313,19-23,13.6,214,52,4.1,6-39,0,0,0,39:10,-1,0,4,,,
3,400603831,Louisiana Monroe,14,away,0,0,,,,2,62,0,4,2,,,,12,5-14,0-0,251,206,23-29,7.1,45,26,1.7,5-30,1,0,1,26:40,Georgia,51,home,0,4,3,61,0,3,7,19,5-9,0-0,435,192,10-14,13.7,243,38,6.4,4-30,0,0,0,23:26,37,0,3,26,0,1
4,400834350,Bowling Green,30,away,0,1,23,0,2,2,52,0,4,12,,,,24,4-18,3-3,557,433,29-51,8.5,124,34,3.6,12-128,1,1,0,26:09,Tennessee,59,home,1,6,2,86,0,2,11,29,9-16,0-0,604,205,15-23,8.9,399,64,6.2,4-40,0,0,0,33:51,102,0,3,,,
5,400603840,North Carolina,13,away,0,0,-1,0,1,1,,,,7,,,,20,5-13,0-2,440,232,19-31,7.5,208,33,6.3,6-30,3,0,3,24:22,South Carolina,17,home,0,1,1,24,0,1,5,22,7-15,1-2,394,140,12-27,5.2,254,47,5.4,8-60,0,0,0,35:38,,,,2,0,3
6,400603832,Louisiana,33,away,0,4,-2,0,2,0,77,0,4,5,1,0,1,27,7-19,3-4,479,232,26-41,5.7,247,47,5.3,7-70,4,2,2,37:05,Kentucky,40,home,2,2,3,127,0,4,10,18,5-14,1-1,435,257,16-34,7.6,178,26,6.8,4-54,1,0,1,22:55,16,0,1,0,0,2
7,400603839,Western Kentucky,14,away,1,1,,,,1,45,0,2,2,0,0,2,11,2-12,0-0,246,209,19-30,7.0,37,23,1.6,9-70,0,0,0,23:21,Vanderbilt,12,home,0,0,1,61,0,3,6,20,7-18,2-3,385,217,18-34,6.4,168,42,4.0,5-40,3,1,2,36:39,12,0,3,,,
8,400603827,Wisconsin,17,away,0,0,15,0,2,2,84,0,4,5,,,,17,6-14,0-0,268,228,26-39,5.8,40,21,1.9,5-50,1,0,1,28:55,Alabama,35,home,0,4,1,35,0,3,5,27,4-11,1-1,502,264,22-29,9.1,238,37,6.4,11-120,0,0,0,31:05,25,0,4,41,0,1
9,400603835,UT Martin,3,away,0,0,8,0,1,0,90,0,5,3,0,0,1,13,2-17,1-1,290,174,16-29,6.0,116,39,3.0,6-43,1,0,1,36:09,Ole Miss,76,home,0,5,5,40,0,2,10,28,4-9,2-2,662,324,19-28,11.6,338,36,9.4,3-30,1,0,1,23:51,80,0,6,93,1,1
