,id,team1,team1_pts,team1_home_away,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team1_fumblesRecovered,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_possessionTime,team1_interceptions,team1_fumblesLost,team1_turnovers,team1_totalPenaltiesYards,team1_yardsPerRushAttempt,team1_rushingAttempts,team1_rushingYards,team1_yardsPerPass,team1_completionAttempts,team1_netPassingYards,team1_totalYards,team1_fourthDownEff,team1_thirdDownEff,team1_firstDowns,team2,team2_pts,team2_home_away,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team2_fumblesRecovered,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_possessionTime,team2_interceptions,team2_fumblesLost,team2_turnovers,team2_totalPenaltiesYards,team2_yardsPerRushAttempt,team2_rushingAttempts,team2_rushingYards,team2_yardsPerPass,team2_completionAttempts,team2_netPassingYards,team2_totalYards,team2_fourthDownEff,team2_thirdDownEff,team2_firstDowns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team1_totalFumbles,team2_totalFumbles
0,401235700,Middle Tennessee,0,away,2,0,38,0,1,1,0,0,0,82,0,5,24:31,2,2,4,5-53,3.1,24,75,4.5,16-24,109,184,2-2,3-9,13,Army,42,home,6,1,31,1,3,2,2,5,0,15,0,1,6,43,1,2,35:29,0,0,0,7-74,5.5,62,340,7.0,2-4,28,368,1-1,13-15,24,,,,,,,,,,,,
1,401239884,Stephen F. Austin,14,away,5,0,38,1,2,3,1,1,1,39,0,3,23:13,1,1,2,5-45,4.2,23,97,6.3,14-21,133,230,1-1,3-8,14,UTEP,24,home,5,0,25,1,3,0,1,2,1,19,0,2,6,0,0,1,36:47,1,1,2,4-40,4.1,37,152,7.6,17-28,212,364,1-2,8-13,19,2,0,0,1,,,,,,,,
2,401234576,Navy,3,home,4,0,33,0,1,1,0,0,0,20,0,1,22:40,0,1,1,6-54,3.1,39,119,3.8,4-8,30,149,0-2,2-12,7,BYU,55,away,8,0,32,5,3,2,1,5,2,38,0,2,13,,,,37:20,1,0,1,1-5,6.1,49,301,12.7,16-22,279,580,1-2,6-11,28,3,9,0,1,12,0,1,-2,0,1,,
3,401207098,Houston Christian,31,away,1,0,41,0,1,4,0,1,3,63,0,5,31:41,0,0,0,9-78,3.7,24,89,7.7,39-62,480,569,1-2,8-18,28,North Texas,57,home,5,0,38,1,4,2,0,4,4,,,,9,,,,22:43,1,0,1,6-48,6.9,52,360,10.6,21-34,361,721,3-3,11-17,33,7,0,0,1,0,0,1,5,0,2,,
4,401212553,Arkansas State,24,away,5,0,49,0,0,1,0,2,1,38,0,2,25:27,2,1,3,5-50,3.6,35,125,6.8,28-44,299,424,2-3,6-15,25,Memphis,37,home,5,0,49,3,4,5,1,1,4,24,0,2,7,0,0,2,33:48,1,0,1,12-102,4.7,47,223,7.6,26-36,275,498,1-1,9-17,29,6,0,0,1,,,,,,,,
5,401212484,Texas State,24,home,5,0,43,1,2,2,1,1,2,19,0,1,27:57,1,1,2,4-43,5.0,38,189,5.8,21-39,227,416,2-3,6-16,22,SMU,31,away,7,0,42,2,4,6,1,3,1,43,0,2,7,2,0,1,31:23,2,1,3,7-63,4.0,44,177,10.2,26-36,367,544,0-1,6-14,26,6,45,0,2,,,,30,0,1,,
6,401238035,Central Arkansas,35,away,8,1,61,0,1,0,2,1,3,116,0,4,,1,2,3,0-0,4.8,21,100,4.2,25-46,193,293,0-0,0-0,0,UAB,45,home,5,0,39,2,5,5,2,3,3,49,0,3,9,19,0,1,,1,2,3,0-0,4.8,49,233,6.6,24-34,226,459,0-0,0-0,0,5,34,0,1,2,0,2,-2,0,1,,
7,401207101,Southern Mississippi,21,home,2,0,23,0,1,1,0,2,0,61,0,2,30:52,0,0,0,7-49,2.6,37,95,9.8,22-32,314,409,1-2,5-14,20,South Alabama,32,away,5,0,23,2,3,2,0,1,3,27,0,2,8,,,,29:08,2,0,2,4-38,4.3,38,163,12.1,18-30,363,526,2-2,7-12,23,7,23,0,2,,,,,,,,
8,401237353,Marshall,59,home,4,0,18,2,3,0,0,3,5,24,0,1,34:03,0,0,0,2-15,5.2,54,282,11.9,22-29,345,627,2-2,7-10,34,Eastern Kentucky,0,away,3,0,40,2,1,2,0,0,0,65,0,4,0,,,,25:37,1,0,1,6-40,2.8,31,86,5.0,10-16,80,166,0-2,3-12,7,11,-7,0,1,12,0,3,,,,,
9,401234574,Duke,13,away,5,0,47,3,2,0,0,1,0,41,0,2,25:57,0,2,2,4-31,2.5,30,75,7.0,20-37,259,334,0-1,4-15,18,Notre Dame,27,home,7,0,38,3,8,6,2,2,1,90,0,4,9,,,,33:38,1,0,1,4-39,4.2,42,178,8.5,19-31,263,441,2-2,7-16,24,7,0,0,1,23,0,4,3,0,1,,
