,id,team1,team1_pts,team1_home_away,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_fumblesRecovered,team1_totalFumbles,team1_possessionTime,team1_interceptions,team1_fumblesLost,team1_turnovers,team1_totalPenaltiesYards,team1_yardsPerRushAttempt,team1_rushingAttempts,team1_rushingYards,team1_yardsPerPass,team1_completionAttempts,team1_netPassingYards,team1_totalYards,team1_fourthDownEff,team1_thirdDownEff,team1_firstDowns,team2,team2_pts,team2_home_away,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_fumblesRecovered,team2_totalFumbles,team2_possessionTime,team2_interceptions,team2_fumblesLost,team2_turnovers,team2_totalPenaltiesYards,team2_yardsPerRushAttempt,team2_rushingAttempts,team2_rushingYards,team2_yardsPerPass,team2_completionAttempts,team2_netPassingYards,team2_totalYards,team2_fourthDownEff,team2_thirdDownEff,team2_firstDowns,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns
0,401540244,Lamar,17,home,1,1,82,0,4,5,0,0,1,1,1,29:44,1,0,1,5-35,2.3,31,71,5.0,15-24,119,190,0-0,6-13,16,Idaho,42,away,2,26,0,3,4,0,0,1,4,13,0,1,0,3,30:16,1,1,2,8-101,7.6,36,273,10.7,16-21,224,497,0-0,6-9,20,,,,,,,,,,,,,,,
1,401525434,Navy,3,away,0,0,12,0,1,3,,,,0,3,33:14,0,0,0,3-26,2.6,48,126,6.1,3-7,43,169,3-4,4-14,12,Notre Dame,42,home,2,11,0,1,4,41,0,2,6,,,,0,2,26:46,0,0,0,1-10,6.0,32,191,10.1,20-25,253,444,1-1,5-7,27,2,0,42,0,1,2,5,0,41,2,2,0,,,
2,401525435,Tennessee State,3,away,0,0,76,0,2,3,,,,1,1,26:16,2,0,2,5-45,2.6,35,91,3.0,8-22,67,158,1-1,4-14,12,Notre Dame,56,home,3,27,0,3,4,8,0,1,8,33,1,2,0,1,33:44,0,1,1,4-36,6.7,33,221,11.2,24-30,336,557,0-0,9-11,26,6,0,45,0,1,1,5,1,32,1,10,4,,,
3,401520154,UT Martin,7,away,0,1,7,0,1,1,,,,0,1,29:35,1,0,1,10-72,4.6,29,134,3.9,18-33,128,262,1-1,2-14,15,Georgia,48,home,3,19,0,2,2,31,0,1,12,26,1,1,0,1,30:25,0,0,0,5-42,5.3,30,159,10.3,26-39,400,559,0-0,5-12,28,4,0,45,0,0,3,4,1,28,1,0,2,,,
4,401520176,Utah,24,home,2,1,16,0,1,6,2,0,1,0,1,28:08,0,0,0,5-37,3.5,30,105,7.2,15-23,165,270,0-0,3-13,14,Florida,11,away,0,5,0,2,1,47,0,2,3,,,,0,1,31:52,1,0,1,9-46,0.6,21,13,7.6,31-44,333,346,2-5,1-13,17,7,0,37,5,0,4,4,0,29,0,2,2,5,0,3
5,401520179,Virginia,13,away,1,0,21,0,1,7,,,,1,0,32:54,0,0,0,2-10,2.4,40,95,4.4,11-24,106,201,0-1,5-18,12,Tennessee,49,home,5,105,0,3,2,34,0,1,7,,,,0,1,27:06,0,1,1,4-35,5.5,52,287,6.4,23-33,212,499,2-3,5-13,29,1,0,54,1,0,5,11,0,32,4,2,5,,,
6,401520167,North Carolina,31,home,2,2,16,0,1,7,,,,0,,32:37,2,0,2,7-49,4.3,39,168,8.4,24-32,269,437,1-2,8-13,21,South Carolina,17,away,2,,,,0,43,0,2,5,22,0,2,0,,27:23,0,0,0,6-35,-0.1,31,-2,9.1,30-39,353,351,0-4,4-14,20,16,0,46,9,0,1,1,0,32,0,2,1,,,
7,401520159,Ball State,14,away,1,1,,,,2,0,0,1,0,3,38:16,0,2,2,4-26,1.8,41,72,7.4,22-30,223,295,1-2,9-17,18,Kentucky,44,home,2,27,0,2,1,117,1,2,14,,,,2,0,21:44,1,0,1,7-51,5.7,20,113,7.8,18-31,241,354,0-1,4-9,17,3,0,27,1,2,2,8,1,44,3,1,1,3,0,1
8,401520178,Alabama A&M,13,away,0,1,50,0,3,7,8,0,1,0,,32:22,1,0,1,9-50,4.1,33,135,4.2,18-34,143,278,1-1,6-18,14,Vanderbilt,47,home,3,96,0,6,3,69,0,3,9,5,0,1,0,,27:38,1,0,1,3-20,6.3,34,215,7.9,17-31,246,461,0-1,9-14,24,4,0,37,1,1,6,7,0,30,2,3,2,,,
9,401520147,Hawai'i,28,away,1,3,90,0,4,4,,,,0,1,31:22,2,0,2,7-59,1.6,25,40,10.0,27-35,351,391,3-4,3-11,19,Vanderbilt,35,home,1,27,0,1,3,97,1,1,3,9,0,2,0,,28:38,0,0,0,8-72,1.5,26,39,8.6,19-30,258,297,1-3,5-12,17,9,0,35,3,2,6,8,1,37,3,4,4,,,
10,401520149,Middle Tennessee,7,away,0,1,21,0,2,1,,,,0,3,30:57,1,1,2,9-84,3.0,26,78,3.8,24-35,133,211,0-0,6-16,13,Alabama,56,home,5,67,0,6,3,23,0,1,8,13,0,1,1,1,29:03,0,0,0,2-19,5.1,40,205,9.4,17-24,226,431,0-0,10-13,23,4,0,42,2,1,2,7,0,36,3,6,1,,,
11,401520168,Mercer,7,away,1,0,60,0,3,1,,,,1,3,35:10,1,2,3,7-50,2.5,37,93,4.6,17-31,142,235,1-2,3-14,15,Ole Miss,73,home,3,69,1,3,6,21,0,2,13,19,0,1,2,1,24:50,0,1,1,7-65,4.3,33,143,12.8,29-41,524,667,1-1,8-11,32,6,0,38,0,2,1,11,1,37,4,6,4,40,0,1
12,401520164,Southeastern Louisiana,7,away,0,1,142,0,7,1,,,,0,4,28:58,0,1,1,5-25,3.2,26,83,4.5,16-28,125,208,1-2,5-15,10,Mississippi State,48,home,3,37,1,3,2,,,,12,,,,1,1,31:02,0,0,0,1-15,7.6,39,298,7.8,20-29,227,525,1-2,5-11,23,2,0,22,1,4,1,3,1,20,3,5,2,,,
13,401520150,Western Carolina,13,away,1,0,37,0,2,7,,,,0,1,30:43,4,1,5,3-30,2.1,30,64,5.7,25-40,227,291,1-2,4-15,18,Arkansas,56,home,3,51,0,2,4,46,0,2,8,101,1,4,1,2,29:17,0,0,0,7-86,2.9,36,105,11.0,20-25,274,379,2-2,6-13,21,4,0,31,1,1,1,10,1,37,2,1,2,1,0,2
14,401520151,UMass,14,away,1,1,55,0,3,2,,,,0,1,29:25,1,1,2,9-73,5.2,27,140,6.7,14-24,161,301,0-2,1-9,11,Auburn,59,home,6,67,0,2,1,86,0,3,11,50,1,1,1,0,30:35,0,0,0,4-40,6.6,44,289,8.1,14-25,203,492,0-1,6-10,27,4,0,42,1,2,4,7,1,32,4,6,0,17,0,1
15,401520182,Florida State,45,home,2,4,0,0,1,9,0,0,1,1,0,35:23,1,0,1,7-64,4.0,34,135,11.2,24-32,359,494,1-1,9-14,22,LSU,24,away,2,-3,0,1,1,51,0,4,6,2,0,1,0,1,24:37,1,1,2,2-30,4.2,27,113,9.4,22-37,346,459,0-3,3-10,23,5,0,33,4,1,4,4,0,27,0,4,2,,,
16,401525463,Miami,38,home,3,1,40,0,1,12,,,,0,,32:53,1,0,1,8-60,6.9,36,250,9.7,20-25,243,493,0-0,3-7,26,Miami (OH),3,away,0,-2,0,1,0,27,0,1,3,0,0,1,0,,27:07,0,0,0,5-49,2.0,25,51,6.8,13-24,164,215,0-3,2-12,9,6,0,22,3,0,4,1,0,40,1,0,0,4,0,3
